id,pdf_exists,title,pages,tokens,tokens_found,ratio,doi_in_text,front_text_chars,verdict,missing_tokens
REC_0001,True,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,4,8,8,1.0,True,14928,PASS,
REC_0003,True,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,5,6,6,1.0,True,13213,PASS,
REC_0006,True,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,4,10,10,1.0,True,11789,PASS,
REC_0008,True,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,7,5,5,1.0,True,11668,PASS,
REC_0010,True,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,6,7,7,1.0,False,17000,PASS,
REC_0013,True,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,6,6,6,1.0,True,14310,PASS,
REC_0017,True,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,6,7,7,1.0,False,14751,PASS,
REC_0022,True,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,6,6,6,1.0,True,13700,PASS,
REC_0023,True,Autonomous Aerial Navigation in GPS-Denied Environments,9,5,5,1.0,False,18866,PASS,
REC_0025,True,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,7,5,5,1.0,False,14833,PASS,
REC_0028,True,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,16,5,5,1.0,True,18542,PASS,
REC_0035,True,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,6,7,7,1.0,False,13314,PASS,
REC_0037,True,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,4,8,8,1.0,True,14538,PASS,
REC_0041,True,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,15,7,7,1.0,True,18177,PASS,
REC_0043,True,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,6,8,8,1.0,False,14771,PASS,
REC_0053,True,Vision-based Navigation of Unmanned Aerial Vehicles,22,4,4,1.0,False,7617,PASS,
REC_0057,True,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,6,9,7,0.778,False,15548,PASS,efficient;high-fidelity
REC_0064,True,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,15,9,9,1.0,True,18194,PASS,
REC_0065,True,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,6,8,8,1.0,True,12658,PASS,
REC_0066,True,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,6,8,8,1.0,True,13928,PASS,
REC_0071,True,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,4,7,7,1.0,False,15019,PASS,
REC_0077,True,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,8,6,6,1.0,True,16643,PASS,
REC_0080,True,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,6,10,10,1.0,False,15276,PASS,
REC_0084,True,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,10,8,8,1.0,True,11528,PASS,
REC_0095,True,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,18,9,9,1.0,True,16543,PASS,
REC_0096,True,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,5,10,10,1.0,True,15892,PASS,
REC_0102,True,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,6,6,6,1.0,True,14712,PASS,
REC_0107,True,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,5,12,12,1.0,True,13743,PASS,
REC_0111,True,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,5,7,7,1.0,False,16479,PASS,
REC_0115,True,Low Computational Data Fusion Approach Using INS and UWB for UAV Navigation Tasks in GPS-Denied Environments,5,7,3,0.429,False,15588,WEAK,navigation;tasks;gps-denied;environments
