id,title,authors,year,venue,doi,source,platform,environment,sensors,algorithm_family,estimation_architecture,primary_metric,metric_value,metric_unit,dataset_used,experiment_type,key_contribution,application_domain,fulltext_available,citation_tier,notes,citation_count_approx,is_benchmark_paper,qa_rigor,qa_reporting,qa_baseline,qa_repro,qa_total,qa_tier,qa_notes
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,E. Öksüz; B. Yalçın; T. Demirdal,2026,,10.1109/SIU71813.2026.11636724,IEEE_Xplore,UAV,outdoor,camera|GPS_denied_confirmed,EKF,loosely_coupled,RMSE,10.0,m,custom,real_world,"The proposed visual localization pipeline combines deep matching with SuperPoint–LightGlue, satellite–camera alignment via homography, Efficient Perspective-n-Point (EPnP)-based absolute pose estimati",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,2,1,1,1,5,Q-medium,A+2: real-world experiments; A+1: ground-truth comparison; B+1: quantitative error metric reported; C+1: established baseline compared; D+1: code/data released; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0068,Efficient Analog Ultrasonic Detection for Autonomous Drone Navigation in GPS-Denied Environments,Prashasti; A. Grover; S. Chatterjee,2025,,10.1109/NETCRYPT65877.2025.11102407,IEEE_Xplore,UAV,indoor,GPS_denied_confirmed|sonar,other,other,RMSE,1.8,cm,custom,real_world,"This work presents a customdesigned analog ultrasonic detection system, purpose-built to address the latency, energy, and hardware complexity challenges associated with conventional microcontroller- a",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,2,1,0,4,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: ablation/failure analysis; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0279,LGVINS: LiDAR-GPS-Visual and Inertial System Based Multi-Sensor Fusion for Smooth and Reliable UAV State Estimation,M. Irfan; S. Dalai; P. Trslic; M. C. Santos; J. Riordan; G. Dooly,2025,,10.1109/TIV.2024.3469551,IEEE_Xplore,UAV,outdoor,lidar|camera|IMU|GPS_denied_confirmed,hybrid,tightly_coupled,drift_pct,,,custom,real_world,"With the development of Autonomous Unmanned Aerial Vehicle's (UAV's), Precise state estimation is a fundamental aspect of autonomous flight and plays a critical role in enabling robots specially in GP",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,1,2,1,5,Q-medium,A+2: real-world experiments; B+1: ablation/failure analysis; C+1: established baseline compared; C+1: matched conditions; D+1: code/data released; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0475,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,K. Ashraf; A. Ashok,2022,,10.1109/ANTS56424.2022.10227756,IEEE_Xplore,UAV,outdoor,camera|GPS_denied_confirmed|WiFi,other,other,RMSE,4.0,m,custom,real_world,"We evaluate our proposed peer-to-peer localization via accuracy across three estimated measures: (i) range or distance between the drones, (ii) GPS bearing (angle), and (iii) GPS location (coordinates",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,3,0,0,4,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: trajectory scale reported; B+1: ablation/failure analysis; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,D. Li; T. Yang; Y. Wang; H. Qin; S. Fan; S. Zhang; Y. Zhang; J. Li,2026,,10.1109/JIOT.2025.3638876,IEEE_Xplore,UAV,outdoor,camera|GPS_denied_confirmed,VIO_SLAM,deep_learning,drift_pct,0.8,m,TUM,real_world,"To address these limitations, we propose LD3DGS-SLAM, a novel framework that integrates monocular SLAM, GNSS, and 3-D Gaussian splatting (3DGS) to enhance UAV-based localization and mapping",mapping,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,3,0,0,4,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: trajectory scale reported; B+1: ablation/failure analysis; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0526,Range-Only EKF-Based Relative Navigation for UAV Swarms in GPS-Denied Zones,D. Belfadel; D. Haessig; C. Chibane,2024,,10.1109/ACCESS.2024.3481409,IEEE_Xplore,UAV,simulation,IMU|GPS_denied_confirmed,EKF,other,drift_pct,,,custom,real_world,"This paper presents a range-aided navigation system, where an Extended Kalman Filter (EKF) combines IMU data with range observations from onboard sensors that measure the distance between nodes in the",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,2,1,0,4,Q-medium,A+2: real-world experiments; B+1: trajectory scale reported; B+1: ablation/failure analysis; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0620,Terrain Aided Planetary UAV Localization Based on Geo-referencing,X. Wan; Y. Shao; S. Zhang; S. Li,2022,,10.1109/TGRS.2022.3198745,IEEE_Xplore,UAV,simulation,camera|GPS_denied_confirmed,SLAM,other,RMSE,0.45,m,custom,real_world,"In this article, we proposed a terrain aided simultaneous localisation and mapping (SLAM) algorithm, which simultaneously reconstructs the 3-D map point of environment and estimates the location of a ",mapping,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,3,1,0,5,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: trajectory scale reported; B+1: ablation/failure analysis; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0637,Miniature IMU/INS with optimally fused low drift MEMS gyro and accelerometers for applications in GPS-denied environments,M. Tanenhaus; D. Carhoun; T. Geis; E. Wan; A. Holland,2012,,10.1109/PLANS.2012.6236890,IEEE_Xplore,UAV,outdoor,IMU|GPS_denied_confirmed,EKF,loosely_coupled,drift_pct,,,custom,real_world,TAI's multi-sensor fusion technology is accelerating the development of accurate MEMS sensor-based inertial navigation in situations where GPS does not operate reliably (GPS-denied environments),navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,2,1,0,4,Q-medium,A+2: real-world experiments; B+1: trajectory scale reported; B+1: ablation/failure analysis; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0720,Relative navigation approach for vision-based aerial GPS-denied navigation,R. C. Leishman; T. W. McLain; R. W. Beard,2013,,10.1109/ICUAS.2013.6564707,IEEE_Xplore,UGV,outdoor,camera|GPS_denied_confirmed,VIO_SLAM,other,RMSE,,,custom,real_world,"Additionally, aerial vehicles can present challenging constraints such as stringent payload limitations and fast vehicle dynamics",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,2,1,1,0,4,Q-medium,A+2: real-world experiments; A+1: repeatability/multiple runs; B+1: ablation/failure analysis; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0779,"AerialVL: A Dataset, Baseline and Algorithm Framework for Aerial-Based Visual Localization With Reference Map",M. He; C. Chen; J. Liu; C. Li; X. Lyu; G. Huang; Z. Meng,2024,,10.1109/LRA.2024.3441491,IEEE_Xplore,UAV,outdoor,camera|wheel_encoder,other,other,RMSE,,,custom,real_world,"However, these is a lack of public dataset and baseline for method comparisons, which impedes the development of aerial-based visual localization",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,2,2,0,1,5,Q-medium,A+2: real-world experiments; A+1: repeatability/multiple runs; B+1: trajectory scale reported; B+1: ablation/failure analysis; D+1: code/data released; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_1007,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,Naanjam R.; Ebadi H.; Farnood Ahmadi F.,2026,,10.1007/s12518-026-00694-2,Scopus,UAV,outdoor,camera|GPS_denied_confirmed|radar,other,other,RMSE,2.86,m,custom,real_world,"While many vision-based navigation methods rely on optical imagery, the potential of UAV-borne Synthetic Aperture Radar (UAVSAR) which performs reliably in all-weather and day–night conditions has rec",search_rescue,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,2,1,0,4,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: trajectory scale reported; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_1008,Visual Odometry in GPS-Denied Zones for Fixed-Wing Unmanned Aerial Vehicle with Reduced Accumulative Error Based on Satellite Imagery,Mateos-Ramirez P.; Gomez-Avila J.; Villaseñor C.; Arana-Daniel N.,2024,,10.3390/app14167420,Scopus,UAV,outdoor,camera|GPS_denied_confirmed|wheel_encoder,other,other,RMSE,3000.0,m,custom,real_world,"In this paper, we present a method for estimating GPS coordinates from visual information captured by a monocular camera mounted on a fixed-wing tactical Unmanned Aerial Vehicle at high altitudes (up ",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,3,0,0,4,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: trajectory scale reported; B+1: ablation/failure analysis; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_1044,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,Abdollahi M.R.; Pourtakdoust S.H.,2026,,10.1016/j.ast.2026.112673,Scopus,UAV,outdoor,camera|IMU|GPS_denied_confirmed|magnetometer|VINS|wheel_encoder,VIO,loosely_coupled,ATE,800.0,m,custom,real_world,"A new visual-inertial odometry (VIO) algorithm for fixed-wing unmanned aerial vehicles (UAVs) operating in GNSS-denied, low to high altitude (50–800 m) environments is proposed",navigation,False,Important,Abstract-only extraction. QA capped accordingly.,,False,1,2,1,0,4,Q-medium,A+2: real-world experiments; B+1: quantitative error metric reported; B+1: trajectory scale reported; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_1069,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,Xu H.; Zhao G.; Bo Y.,2026,,10.3390/drones10030175,Scopus,UAV,outdoor,camera|IMU|GPS_denied_confirmed|UWB|wheel_encoder,VIO,loosely_coupled,RMSE,24.6,%,custom,real_world,"Highlights: What are the main findings? An anchor-free collaborative localization framework is proposed, effectively suppressing visual–inertial odometry (VIO) drift over long trajectories (up to kilo",inspection,False,Important,Abstract-only extraction. QA capped accordingly.,,False,2,1,1,0,4,Q-medium,A+2: real-world experiments; A+1: repeatability/multiple runs; B+1: trajectory scale reported; C+1: established baseline compared; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_1080,Adaptive neural pose regression enabled by updatable graphics-based digital twin for robust UAV localization in GPS-denied civil infrastructure,"Matiki T.; Narazaki Y.; Chowdhary G.; Spencer B.F., Jr.",2026,,10.1016/j.robot.2026.105570,Scopus,UAV,outdoor,camera|IMU|GPS_denied_confirmed|WiFi|wheel_encoder,VIO_SLAM,deep_learning,drift_pct,,,custom,real_world,"To address this limitation, this study presents an updatable Graphics-Based Digital Twin (GBDT) that provides a globally referenced structural prior and generates synthetic image-pose datasets for tra",inspection,False,Important,Abstract-only extraction. QA capped accordingly.,,False,2,1,1,1,5,Q-medium,A+2: real-world experiments; A+1: ground-truth comparison; B+1: ablation/failure analysis; C+1: established baseline compared; D+1: code/data released; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
