id,in_master_csv,parsed,chars,thin_text,ate_topic,ate_numeric,ate_numeric_value,ate_numeric_unit,rmse_topic,rmse_numeric,rpe_topic,rpe_numeric,drift_numeric,success_rate_numeric,poserr_numeric,loose_accuracy_phrase,any_accuracy_numeric,snippet
REC_0001,True,True,19845,False,False,False,,,False,False,False,False,False,False,False,True,False,l architecture is illustrated in Fig. 1. During the offline sta
REC_0003,True,True,21196,False,False,False,,,True,False,False,False,False,False,False,True,False,nce it is 499% more accurate than ORB-SLAM3 and 36% compared to OpenVSLAM.
REC_0006,True,True,16644,False,False,False,,,False,False,False,False,False,False,False,True,False,t do not rely solely on satellite-based positioning [1]. Most autonomous naviga
REC_0008,True,True,27538,False,False,False,,,False,False,False,False,False,False,False,True,False,"ment Gazebo, with a simulated 3DR iris UAV platform usin"
REC_0010,True,True,26171,False,False,False,,,False,False,False,False,False,False,False,True,False,"s added to the maximum lateral error, based on (1), resulting in the total"
REC_0013,True,True,28027,False,False,False,,,False,False,False,False,False,False,False,True,False,ran experiments on simulated groups of 10 drones. The setup cut d
REC_0017,True,True,26312,False,False,False,,,False,False,False,False,False,False,False,True,False,"g system is active, accurate, however, a typical 3D Lidar sensor is not sui"
REC_0022,True,True,23607,False,False,False,,,False,False,False,False,False,False,False,True,False,"he point with the coordinate pU(1) = (0, R, h)⊤, where R is the"
REC_0023,True,True,41612,False,False,False,,,False,False,False,False,False,False,True,True,True,own in Figure 11. A ﬁnal position error of 0.4857m was estimated for the ro
REC_0025,True,True,30113,False,False,False,,,False,False,False,False,False,False,False,True,False,ion around ϕxy as illustrated in Fig. 4(a). An uniform distribut
REC_0028,True,True,81158,False,False,False,,,False,False,False,False,False,True,False,True,True,"ication August 2, 2021. Date of publication August 10, 2021; date of current version"
REC_0035,True,True,26578,False,True,True,0.071,m,False,False,False,False,False,False,False,True,True,"erage translation error (ATE) of Hector SLAM is 0.071 m, whereas ATE of Cartogra"
REC_0037,True,True,20123,False,False,False,,,True,False,False,False,False,False,True,True,True,"ated against RTK GNSS, a positioning error of 10 m (MAE) and 14 m (RMSE) in"
REC_0041,True,True,62560,False,True,False,,,True,False,False,False,False,False,False,True,False,PRESENTED BY THE RMSE OF ATE TABLE IV COMPARISON OF T
REC_0043,True,True,27106,False,False,False,,,False,False,False,False,False,False,False,True,False,. proposed a real-time state estimation method using 2D LiDAR which can produc
REC_0053,True,True,54190,False,False,False,,,True,False,False,False,False,False,False,True,False,sed 1.2 million photos categorized into 1000 categories (109 to 1010 connections and 107 to 1
REC_0057,True,True,25428,False,False,False,,,False,False,False,False,False,False,False,True,False,ent works have demon- strated the capabilities of 3D simulations. OpenSim [5
REC_0064,True,True,87767,False,False,False,,,False,False,False,False,False,False,False,True,False,"Date of publication xxxx 00, 0000, date of current version"
REC_0065,True,True,30401,False,False,False,,,False,False,False,False,False,False,False,True,False,"king moving objects accurately for a minimum time of 10 seconds, performing prec"
REC_0066,True,True,27427,False,False,False,,,False,False,False,False,False,False,False,True,False,"2 meters, with an error rate of 10%. The drone’s relative s"
REC_0071,True,True,20808,False,False,False,,,False,False,False,False,False,False,False,True,False,The concept was demonstrated during the ParcelCopter 3.0 project in the Ba- varia
REC_0077,True,True,41367,False,False,False,,,True,False,False,False,False,True,False,True,True,al path planning incorporates 6- DOF vehicle motion to f
REC_0080,True,True,28390,False,False,False,,,False,False,False,False,False,False,False,True,False,m processing board; (2) lateral stereo pairs; (3) down-looking stereo pai
REC_0084,True,True,42422,False,False,False,,,False,False,False,False,False,False,False,True,False,"ther than detection of water [11]. For this reason, many"
REC_0095,True,True,92052,False,False,False,,,True,False,False,False,False,False,False,True,False,"pted November 19, 2021. Date of publication November 23, 2021; date of current version"
REC_0096,True,True,27542,False,False,False,,,False,False,False,False,False,False,False,True,False,of transceivers is calculated. This process is illustrated in Fig. 1. The main contribution o
REC_0102,True,True,29520,False,False,False,,,False,False,False,False,False,False,False,True,False,gation holdover and mitigate cumulative drifts [14]. Building on these adva
REC_0107,True,True,21737,False,False,False,,,True,True,False,False,False,False,False,True,True,"m performance, as the 2D RMSE reached 1.95 m. Fig. 10. The estimat"
REC_0111,True,True,26066,False,False,False,,,True,False,False,False,False,False,False,True,False,"scale factor may be updated regularly. In [8], a solution for scale f"
REC_0115,True,True,23483,False,False,False,,,False,False,False,False,False,False,False,False,False,
REC_0118,True,True,28650,False,False,False,,,True,True,False,False,False,False,False,True,True,"ime is about 14.7 s. The RMSE of position in the x, y and z axes 4.6cm, 6.8cm and 5.4cm respect"
REC_0123,True,True,24274,False,False,False,,,False,False,False,False,False,False,False,True,False,can provide highly accurate 3D information about the e
REC_0131,True,True,24157,False,False,False,,,True,True,False,False,False,False,False,True,True,"es that typically report RMSE values in the range of 0.07–0.10 m [11], [12] for quadrotor"
REC_0138,True,True,62156,False,False,False,,,False,False,False,False,False,False,False,True,False,"pted December 17, 2018. Date of publication January 1, 2019; date of current version"
REC_0149,True,True,25606,False,False,False,,,False,False,False,False,False,False,True,True,True,"tion accuracy, with most positioning errors ranging between 5 m and 15 m using only visi"
REC_0155,True,True,48139,False,False,False,,,True,True,False,False,False,False,False,True,True,.13 m and its overall 3D RMSE was 0.34 m. The 3D RMSE of LiDAR re
REC_0161,True,True,30268,False,False,False,,,True,True,False,False,False,False,False,True,True,"Root Mean Square Error (RMSE) of just 0.13 m. Notably, this performan"
REC_0165,True,True,9360,False,False,False,,,False,False,False,False,False,False,False,True,False,intly optimize Drone-to-Satellite (D2S) (2) and Satellite-to-Drone
REC_0179,True,True,20371,False,False,False,,,True,True,False,False,False,False,False,True,True,ing of the UAV with the RMSE under 36 cm using only a single beac
REC_0195,True,True,44299,False,False,False,,,False,False,False,False,False,False,False,True,False,"Science and Technology later released VINS-Fusion [21], which supports multi-"
REC_0196,True,True,25397,False,False,False,,,False,False,False,False,False,False,False,True,False,ation is a process to create a 3-D probabilistic occupanc
REC_0202,True,True,16956,False,False,False,,,False,False,False,False,False,False,False,True,False,te the problem of accumulated errors in positioning [4].With the increase of fl
REC_0208,True,True,43689,False,False,False,,,False,False,False,False,False,False,False,True,False,"pted December 28, 2020, date of publication December 31, 2020, date of current version"
REC_0211,True,True,61998,False,False,False,,,True,True,False,False,False,False,True,True,True,"stable performance, with RMSE increasing by 4.20 m. In comparison, baseline"
REC_0213,True,True,46690,False,False,False,,,False,False,False,False,False,False,False,True,False,".2) to ﬁnd the target located in either P3 = (−7.0, 10.0, 0.0) or P4 = (9.0, 6.0, 0.0)"
REC_0215,True,True,25456,False,False,False,,,False,False,False,False,False,False,False,True,False,"vision information separately, and 2) fusing the estimations"
REC_0218,True,True,51146,False,False,False,,,False,False,False,False,False,False,False,True,False,"stimation on nonlinear state spaces [26]. For fixed-wing UAVs, a"
REC_0239,True,True,22281,False,False,False,,,False,False,False,False,False,False,True,True,True,"n Fig. 5, the horizontal position errors are mostly within ±0.2 m according to the scatter"
REC_0242,False,True,31456,False,False,False,,,False,False,False,False,False,False,False,True,False,"s fully depend on inaccurate on-board IMU [2], [3]. To overcome the above"
REC_0244,False,True,41576,False,False,False,,,False,False,False,False,True,False,False,True,True,try error due to heading drift is bounded by sin (3◦/2) · 2 m ≈10 cm. Another error so
REC_0246,True,True,28476,False,False,False,,,False,False,False,False,False,False,False,True,False,"neering at California State Polytechnic University, Pomona, CA 91768 USA (e-mail: lqngo@cpp."
REC_0255,True,True,23255,False,False,False,,,False,False,False,False,False,False,False,True,False,rk [5] successfully estimates the 6DoF mo­ tion of a monocul
REC_0264,True,True,46872,False,False,False,,,False,False,False,False,False,True,False,True,True,"amera’s FOV if the calculated sum is equal to 2π. In this paper, it is a"
REC_0271,True,True,26757,False,False,False,,,False,False,False,False,False,False,False,True,False,ometry are always integrated with other sensors like IMU [11] to estimate this unkno
REC_0274,True,True,34021,False,False,False,,,False,False,False,False,False,False,False,True,False,"nce, and cooperative strategies. Figure 1 illustrates this classif"
REC_0278,True,True,32797,False,False,False,,,False,False,False,False,False,False,False,True,False,"ating INS with GPS mitigates these issues [1]–[3], offering enhanced acc"
REC_0281,True,True,33226,False,False,False,,,True,False,False,False,False,False,False,True,False,oach we follow is illustrated in figure 1. The UAV can be detected
REC_0289,True,True,19900,False,False,False,,,False,False,False,False,False,False,False,True,False,and the results demonstrate that the 3D LiDAR SLAM system achie
REC_0294,True,True,35424,False,False,False,,,False,False,False,False,False,False,False,True,False,ation and velocity estimates of the last 5 seconds of GNSS aided fl
REC_0296,True,True,16679,False,False,False,,,False,False,False,False,False,False,False,True,False,output high frequency state estimate as shown in the Fig. 2. A high rate attitude e
REC_0305,True,True,27202,False,False,False,,,True,False,False,False,False,False,False,True,False,e proposed method and related details. Section 3 decribes the fusion of C
REC_0318,True,True,26483,False,False,False,,,False,False,False,False,False,False,False,True,False,s topic fall into three categories: 1) analysis of multiple v
REC_0332,True,True,29873,False,False,False,,,False,False,False,False,False,False,False,True,False,ll system weighs approximately 2.9kg. B. IR Camera and Came
REC_0343,True,True,56838,False,False,False,,,False,False,False,False,False,False,False,True,False,g behavior was ﬁrst simulated on a computer in 1987 by Reynolds [2] with an
REC_0345,True,True,24627,False,False,False,,,False,False,False,False,False,False,False,True,False,of 3D features are estimated. Langelaan [6] has presented a framewo
