id,pdf_exists,title,master_year,master_doi,pdf_pages,detected_headline,doi_match,surnames_tested,surnames_found,surnames_hit,title_tokens,title_ratio,verdict
REC_0001,True,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,2026,10.1109/ICCIR70228.2026.11633308,4,BIM-Assisted UAV Topological Localization and,True,2,2,zheng;zhou,8,1.0,DOI_MATCH
REC_0003,True,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,2026,10.1109/ICTP67998.2026.11485150,5,Autonomous Navigation in GPS-Denied,True,8,8,bhattarai;chieng;jayswal;khadka;nakarmi;rimal,6,1.0,DOI_MATCH
REC_0006,True,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,2026,10.1109/APSCON68325.2026.11497125,4,A Multi-Sensor Fusion Framework for Unmanned,True,4,4,allaka;kiran;kumar;reddy,11,1.0,DOI_MATCH
REC_0008,True,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,2019,10.1109/AERO.2019.8741612,7,This may be the author’s version of a work that was submitted/accepted,True,4,4,gaston;gonzalez;roberts;vanegas,5,1.0,DOI_MATCH
REC_0010,True,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,2018,10.1109/SYSCON.2018.8369592,6,Autonomous long-range navigation in GNSS-denied,False,3,3,kuroswiski;oliveira;shiguemori,7,1.0,SURNAME_MATCH
REC_0013,True,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,2026,10.1109/ICoECIT68303.2026.11497954,6,Quantum-Enhanced Drone Swarm Localization in,True,1,1,thota,6,1.0,DOI_MATCH
REC_0017,True,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,2018,10.1109/IECON.2018.8592913,6,Development of Nano UAV Platform for Navigation,False,1,1,zhou,7,1.0,SURNAME_MATCH
REC_0022,True,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,2022,10.1109/CCDC55256.2022.10034409,6,Distance-based Autonomous Docking for UAV-MP in GPS-denied,True,1,1,cheng,6,1.0,DOI_MATCH
REC_0023,True,Autonomous Aerial Navigation in GPS-Denied Environments,2025,10.1109/INSPIRE67328.2025.11300665,9,Visual–Thermal Landmarks and Inertial Fusion for,False,3,0,,5,1.0,TITLE_ONLY
REC_0025,True,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,2015,10.1109/IPIN.2015.7346960,7,Design of an UWB Indoor-Positioning System,False,3,3,schweikowski;tiemann;wietfeld,5,1.0,SURNAME_MATCH
