id,title,qa_rigor,qa_reporting,qa_baseline,qa_repro,qa_total,qa_tier
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,0,1,0,0,1,Q-low
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,2,3,1,1,7,Q-medium
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,4,3,1,1,9,Q-high
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,1,2,1,1,5,Q-medium
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,0,2,0,1,3,Q-low
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,1,3,0,0,4,Q-low
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,0,2,0,0,2,Q-low
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,1,3,0,0,4,Q-low
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,1,3,1,1,6,Q-medium
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,2,2,0,0,4,Q-low
REC_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,2,3,0,0,5,Q-medium
REC_0035,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,2,2,2,0,6,Q-medium
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,1,2,0,1,4,Q-low
REC_0041,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,4,3,1,1,9,Q-high
REC_0043,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,1,3,1,0,5,Q-medium
REC_0053,Vision-based Navigation of Unmanned Aerial Vehicles,4,3,1,0,8,Q-high
REC_0057,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,0,2,1,1,4,Q-low
REC_0064,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,2,3,0,0,5,Q-medium
REC_0065,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,2,3,1,1,7,Q-medium
REC_0066,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,1,3,0,0,4,Q-low
REC_0071,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,2,3,0,0,5,Q-medium
REC_0077,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,3,3,0,1,7,Q-medium
REC_0080,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,1,3,0,0,4,Q-low
REC_0084,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,1,3,1,0,5,Q-medium
REC_0095,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,3,3,0,0,6,Q-medium
REC_0096,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,4,3,1,0,8,Q-high
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,4,3,1,1,9,Q-high
REC_0107,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,1,3,0,0,4,Q-low
REC_0111,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,2,3,1,1,7,Q-medium
REC_0115,Low Computational Data Fusion Approach Using INS and UWB for UAV Navigation Tasks in GPS-Denied Environments,0,0,0,0,0,Q-low
REC_0118,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,1,3,1,1,6,Q-medium
REC_0123,Visual-based landing system of a multirotor UAV in GNSS denied environment,3,3,0,0,6,Q-medium
REC_0131,Digital Twin for Drone Indoor Autonomous Navigation,2,3,0,1,6,Q-medium
REC_0138,Autonomous Exploration and Mapping System Using Heterogeneous UAVs and UGVs in GPS-Denied Environments,3,3,0,0,6,Q-medium
REC_0149,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,3,3,0,0,6,Q-medium
