id,title,doi,doi_status
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,10.1109/ICCIR70228.2026.11633308,present
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,10.1109/ICTP67998.2026.11485150,present
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,10.1109/APSCON68325.2026.11497125,present
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,10.1109/AERO.2019.8741612,present
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,10.1109/SYSCON.2018.8369592,present
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,10.1109/ICoECIT68303.2026.11497954,present
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,10.1109/IECON.2018.8592913,present
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,10.1109/CCDC55256.2022.10034409,present
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,10.1109/INSPIRE67328.2025.11300665,present
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,10.1109/IPIN.2015.7346960,present
REC_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,10.1109/TAES.2021.3103140,present
REC_0035,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,10.1109/WCSP49889.2020.9299710,present
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,10.1109/SIU71813.2026.11636724,present
REC_0041,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,10.1109/TGRS.2023.3323519,present
REC_0043,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,10.1109/ROMA55875.2022.9915682,present
REC_0053,Vision-based Navigation of Unmanned Aerial Vehicles,10.1109/ICACCM61117.2024.11059131,present
REC_0057,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,10.1109/IECON.2015.7392488,present
REC_0064,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,10.1109/ACCESS.2024.3357148,present
REC_0065,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,10.1109/MetroAeroSpace57412.2023.10190003,present
REC_0066,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,10.1109/OCIT59427.2023.10431039,present
REC_0071,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,10.1109/ICMIM.2018.8443483,present
REC_0077,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,10.1109/ICUAS69441.2026.11598675,present
REC_0080,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,10.1109/ITSC.2018.8569695,present
REC_0084,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,10.1109/ICUAS48674.2020.9213927,present
REC_0095,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,10.1109/JIOT.2021.3130000,present
REC_0096,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,10.1109/ICAS49788.2021.9551177,present
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,10.1109/FET68771.2026.11601505,present
REC_0107,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,10.1109/ITC-Egypt52936.2021.9513978,present
REC_0111,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,10.1109/ICRoM48714.2019.9071826,present
REC_0115,Low Computational Data Fusion Approach Using INS and UWB for UAV Navigation Tasks in GPS-Denied Environments,10.1109/PDCAT46702.2019.00080,present
REC_0118,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,10.1109/GNCC42960.2018.9019191,present
REC_0123,Visual-based landing system of a multirotor UAV in GNSS denied environment,10.1109/MetroAeroSpace57412.2023.10190013,present
REC_0131,Digital Twin for Drone Indoor Autonomous Navigation,10.1109/LSENS.2025.3642424,present
REC_0138,Autonomous Exploration and Mapping System Using Heterogeneous UAVs and UGVs in GPS-Denied Environments,10.1109/TVT.2018.2890416,present
REC_0149,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,10.1109/IPCS69631.2026.11604264,present
REC_0155,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,10.1109/ICUAS54217.2022.9836116,present
REC_0161,Sensor Fusion for Autonomous Indoor UAV Navigation in Confined Spaces,10.1109/ICST59744.2023.10460820,present
REC_0165,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,10.1109/ICCE-Taiwan71481.2026.11652687,present
REC_0179,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,10.1109/MetroAeroSpace.2019.8869587,present
REC_0195,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,10.1109/RAITS68656.2026.11580149,present
REC_0196,Navigation of Simultaneous Localization and Mapping by Fusing RGB-D Camera and IMU on UAV,10.1109/SAFEPROCESS45799.2019.9213339,present
REC_0202,Design of A Positioning System for UAV in GPS-denied Environment,10.1109/ISCIT55906.2022.9931225,present
REC_0208,UAV Pose Estimation in GNSS-Denied Environment Assisted by Satellite Imagery Deep Learning Features,10.1109/ACCESS.2020.3048342,present
REC_0211,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,10.1109/JIOT.2025.3650118,present
REC_0213,A Multi-UAV System for Exploration and Target Finding in Cluttered and GPS-Denied Environments,10.1109/ICUAS51884.2021.9476820,present
REC_0215,GPS-Denied UAV-UGV Relative Positioning System via Vision-UWB Fusion,10.1109/ICIEA58696.2023.10241577,present
REC_0218,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,10.1109/ICUAS69441.2026.11598562,present
REC_0239,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,10.1109/ACIRS55390.2022.9845557,present
REC_0246,UAV Platforms for Autonomous Navigation in GPS-Denied Environments for Search and Rescue Missions,10.1109/ICUAS54217.2022.9836181,present
REC_0255,A stereo and rotating laser framework for UAV navigation in GPS denied environment,10.1109/IECON.2016.7793246,present
REC_0264,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,10.1109/AERO55745.2023.10115544,present
REC_0271,Hybrid IMU-Aided Approach for Optimized Visual Odometry,10.1109/GlobalSIP45357.2019.8969460,present
REC_0274,Navigation and control of unmanned aerial vehicles in GPS-denied environments,10.1109/ICARCV.2014.7064483,present
REC_0278,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,10.1109/ICCE70609.2026.11658445,present
REC_0281,UAV Tracking with Lidar as a Camera Sensor in GNSS-Denied Environments,10.1109/ICL-GNSS57829.2023.10148919,present
REC_0289,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,10.1109/ICAIIC68212.2026.11454340,present
REC_0294,A Novel Approach to Computationally Lighter GNSS-Denied UAV Navigation Using Monocular Camera,10.1109/ICARA51699.2021.9376502,present
REC_0296,Optical flow sensor integrated navigation system for quadrotor in GPS-denied environment,10.1109/ICRAE.2016.7738795,present
REC_0305,A method based on CNN-BiLSTM for UAV navigation error compensation in GNSS denied environment,10.1109/ICCC59590.2023.10507546,present
REC_0318,Cooperative Navigation Method Based on Adaptive CKF for UAVs In GPS Denied Areas,10.1109/GNCC42960.2018.9018972,present
REC_0332,Thermal-Inertial Localization for Autonomous Navigation of Aerial Robots through Obscurants,10.1109/ICUAS.2018.8453447,present
