id,title,year,source,doi,venue,in_priority_300,priority_rank,done_Y_N,pdf_filename,pdf_present,in_extracted_master,extraction_pending,status,remarks
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,2026,IEEE_Xplore,10.1109/ICCIR70228.2026.11633308,,Y,1,Y,REC_0001.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0001.pdf
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,2026,IEEE_Xplore,10.1109/ICTP67998.2026.11485150,,Y,2,Y,REC_0003.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0003.pdf
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,2026,IEEE_Xplore,10.1109/APSCON68325.2026.11497125,,Y,3,Y,REC_0006.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0006.pdf
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,2026,IEEE_Xplore,10.1109/ICoECIT68303.2026.11497954,,Y,4,Y,REC_0013.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0013.pdf
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,2026,IEEE_Xplore,10.1109/SIU71813.2026.11636724,,Y,5,Y,REC_0037.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0037.pdf
REC_0077,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,2026,IEEE_Xplore,10.1109/ICUAS69441.2026.11598675,,Y,6,Y,REC_0077.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0077.pdf
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,IEEE_Xplore,10.1109/FET68771.2026.11601505,,Y,7,Y,REC_0102.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0102.pdf
REC_0131,Digital Twin for Drone Indoor Autonomous Navigation,2026,IEEE_Xplore,10.1109/LSENS.2025.3642424,,Y,8,Y,REC_0131.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0131.pdf
REC_0149,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,2026,IEEE_Xplore,10.1109/IPCS69631.2026.11604264,,Y,9,Y,REC_0149.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0149.pdf
REC_0165,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,2026,IEEE_Xplore,10.1109/ICCE-Taiwan71481.2026.11652687,,Y,10,Y,REC_0165.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0165.pdf
REC_0195,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,2026,IEEE_Xplore,10.1109/RAITS68656.2026.11580149,,Y,11,Y,REC_0195.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0195.pdf
REC_0211,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,2026,IEEE_Xplore,10.1109/JIOT.2025.3650118,,Y,12,Y,REC_0211.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0211.pdf
REC_0218,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,2026,IEEE_Xplore,10.1109/ICUAS69441.2026.11598562,,Y,13,Y,REC_0218.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0218.pdf
REC_0278,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,2026,IEEE_Xplore,10.1109/ICCE70609.2026.11658445,,Y,14,Y,REC_0278.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0278.pdf
REC_0289,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,2026,IEEE_Xplore,10.1109/ICAIIC68212.2026.11454340,,Y,15,Y,REC_0289.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0289.pdf
REC_0388,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,2026,IEEE_Xplore,10.1109/JSEN.2025.3646302,,Y,16,Y,REC_0388.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0388.pdf
REC_0409,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,2026,IEEE_Xplore,10.1109/ICUAS69441.2026.11598747,,Y,17,Y,REC_0409.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0409.pdf
REC_0481,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,2026,IEEE_Xplore,10.1109/ICUAS69441.2026.11598599,,Y,18,Y,REC_0481.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0481.pdf
REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,2026,IEEE_Xplore,10.1109/JIOT.2025.3638876,,Y,19,Y,REC_0502.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0502.pdf
REC_0537,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,2026,IEEE_Xplore,10.1109/MetroAeroSpace69299.2026.11646697,,Y,20,Y,REC_0537.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0537.pdf
REC_0644,Autonomous Localization and Navigation for Drones Over Rivers,2026,IEEE_Xplore,10.1109/ACCESS.2025.3650454,,Y,21,Y,REC_0644.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0644.pdf
REC_0652,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,2026,IEEE_Xplore,10.1109/ICIPRoB69625.2026.11497788,,Y,22,Y,REC_0652.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0652.pdf
REC_0656,Vision-Based UAV Localization by Aerial and Satellite Image Matching,2026,IEEE_Xplore,10.1109/ACCESS.2026.3684630,,Y,23,Y,REC_0656.pdf,Y,Y,N,OK_fully_integrated,Y - PDF present in 05_papers_fulltext/REC_0656.pdf
