environment,count,percentage
Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,64,22.0%
Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,50,17.2%
Indoor;Urban;Underground/Tunnel;Adversarial/EW,47,16.2%
Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,36,12.4%
Indoor;Urban;Forest/Canopy;Adversarial/EW,12,4.1%
Indoor;Urban;Adversarial/EW,10,3.4%
Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,10,3.4%
Urban;Underground/Tunnel;Adversarial/EW,10,3.4%
Indoor;Underground/Tunnel;Adversarial/EW,8,2.7%
Indoor;Urban;Adversarial/EW;Maritime/Water,6,2.1%
Indoor;Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,5,1.7%
Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,5,1.7%
Urban;Adversarial/EW,4,1.4%
Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,3,1.0%
Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,3,1.0%
Urban;Forest/Canopy;Adversarial/EW,2,0.7%
Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW,2,0.7%
Underground/Tunnel;Adversarial/EW,2,0.7%
Indoor;Forest/Canopy;Adversarial/EW,2,0.7%
Indoor;Adversarial/EW,1,0.3%
Indoor;Urban;Underground/Tunnel;Forest/Canopy;Maritime/Water,1,0.3%
Underground/Tunnel;Adversarial/EW;Maritime/Water,1,0.3%
Mixed/Unstructured,1,0.3%
Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,1,0.3%
Adversarial/EW,1,0.3%
Indoor;Urban;Underground/Tunnel,1,0.3%
Indoor;Adversarial/EW;Maritime/Water,1,0.3%
Indoor;Underground/Tunnel;Adversarial/EW;Maritime/Water,1,0.3%
Urban;Adversarial/EW;Maritime/Water,1,0.3%
