id,title,authors,year,doi,venue,abstract_summary,approach_family,sensors_used,best_ate_rmse,best_ate_rmse_unit,baseline_compared,claimed_novelty,environment_category,real_or_sim,human_verdict,human_notes
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi,2026,10.1109/ICTP67998.2026.11485150,IEEE Conference/Journal,...,LiDAR-Inertial / LiDAR SLAM,IMU;Thermal_Camera;LiDAR_3D,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Both,,
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,Y. Zhou; G. Qin; F. Lin,2018,10.1109/IECON.2018.8592913,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;UWB;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,,
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,C. Cheng; X. Li; L. Li; L. Xie,2022,10.1109/CCDC55256.2022.10034409,IEEE Conference/Journal,...,LiDAR-Inertial / LiDAR SLAM,IMU;Monocular_Camera;LiDAR_3D;UWB,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,,
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,A. Variar; B. R; A. Fathima; R. U; G. Sreenandhini; D. K. H; J. J; S. M. D,2025,10.1109/INSPIRE67328.2025.11300665,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,,
REC_0080,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,F. Valenti; D. Giaquinto; L. Musto; A. Zinelli; M. Bertozzi; A. Broggi,2018,10.1109/ITSC.2018.8569695,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera;LiDAR_2D;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Forest/Canopy;Adversarial/EW,Simulation,,
REC_0084,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,A. D. Singh; F. Vanegas Alvarez,2020,10.1109/ICUAS48674.2020.9213927,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Thermal_Camera,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Underground/Tunnel;Adversarial/EW;Maritime/Water,Simulation,,
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,A. Moussa; I. N. Him; K. Chawqi; Y. Salih-Alj,2026,10.1109/FET68771.2026.11601505,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Forest/Canopy;Adversarial/EW,Both,,
REC_0111,Position Estimation for Drones based on Visual SLAM and IMU in GPS-denied Environment,H. D. K. Motlagh; F. Lotfi; H. D. Taghirad; S. B. Germi,2019,10.1109/ICRoM48714.2019.9071826,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;UWB;Sonar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Urban;Underground/Tunnel;Adversarial/EW,Simulation,,
REC_0155,Cooperative Navigation and Guidance of a Micro-Scale Aerial Vehicle by an Accompanying UAV using 3D LiDAR Relative Localization,V. Pritzl; M. Vrba; P. Štĕpán; M. Saska,2022,10.1109/ICUAS54217.2022.9836116,IEEE Conference/Journal,...,Visual-LiDAR Fusion,IMU;Stereo_Camera;LiDAR_3D;UWB,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Both,,
REC_0195,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,T. Du; Y. Lin,2026,10.1109/RAITS68656.2026.11580149,IEEE Conference/Journal,...,Visual-Inertial (VIO/SLAM),IMU;Stereo_Camera;UWB;Optical_Flow,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,,
