id,title,abstract,authors,year,doi,venue,source
IEEE_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,"This paper proposes a BIM-assisted UAV topological localization and navigation framework for GPS-denied indoor environments. The method transforms BIM data into a semantic-topological graph containing rooms, corridors, staircases, and connectivity relationships. UAV image observations are converted into candidate BIM nodes through spatial semantic recognition and OCR-based textual matching rather than directly estimating metric coordinates. A topology-aware recursive localization mechanism is then introduced by integrating BIM adjacency constraints and historical states to infer the most probable indoor location. Furthermore, semantic-cost A* planning is employed to validate whether the estimated topological nodes can support indoor navigation tasks. Experiments were conducted in a real university teaching-building environment with 721 indoor images and 74 navigation frames. Results demonstrate that the proposed framework achieves 95.95% localization coverage and 100% valid-frame node accuracy, showing strong robustness and interpretability for indoor UAV localization and navigation.",H. Pan; H. Ye; W. Zheng; L. Zhou,2026,10.1109/ICCIR70228.2026.11633308,2026 6th International Conference on Control and Intelligent Robotics (ICCIR),IEEE
IEEE_0002,Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV,"Recently, application of Unmanned Aerial Vehicle (UAV) attract much attention of not only academic but also industrial community. To control and make the most of UAV, state estimation is mandatory and it should work accurately on Real-time on computational-limited onboard PC. Especially, for the cases that GNSS-disabled environments or indoor situation, Visual Inertial Odometry using camera and IMU sensor has been actively studied. Generally, to research and develop the indoor navigation algorithm, high-performanced and super-expensive facilities like motion capture cameras are needed to measure the ground-truth. In this paper, we apply state-of-art Visual Inertial Odometry algorithms for state estimation of UAVs to FlightGoggles simulator which is photorealistic and which reflects UAV's real dynamics. Moreover, we compare the performance and resource utilization of those algorithms.",E. M. Lee; I. Wee; T. Kim; D. H. Shim,2019,10.23919/ICCAS47443.2019.8971738,"2019 19th International Conference on Control, Automation and Systems (ICCAS)",IEEE
IEEE_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,"This paper presents the real-time implementation of a visual Simultaneous Localization and Mapping (SLAM) for indoor quadcopter navigation. The research aims to autonomously navigate in GPS-denied spaces by localization and mapping in real time. The proposed system integrates an Intel RealSense D435 depth camera, a Raspberry Pi 4B for onboard computation, a laser rangefinder for altitude measurement, and a Pixhawk 4 flight controller. The RTAB-Map SLAM is first tested in a simulation using ROS and Gazebo to ensure its robustness and further deployed in real-world experiments. The experiments carried out successfully demonstrated autonomous indoor UAV navigation with a quadcopter operating at a maximum speed of 0.5 m/s while maintaining a set altitude of 0.5 m with a mean path error and mean altitude deviation of 0.094 ± 0.031 m and 0.027 ± 0.005 m respectively, across different indoor environments, while producing 2D grid maps and 3D point cloud (PCL) maps. This work demonstrates that indoor autonomous UAV navigation can be realized using low-cost, off-the-shelf components and open-source SLAM techniques.",L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi,2026,10.1109/ICTP67998.2026.11485150,2026 International Conference on ICT and Photonics (ICTP),IEEE
IEEE_0004,UAV Navigation and Mission Execution in GPS-Denied Environment,"Precise drone navigation in GNSS-denied environments remains challenging. GPS fails in obstructed areas like cities and forests, limiting applications. Alternatives such as SLAM, INS, and radio-based localization (Wi-Fi, 5G, UWB) improve accuracy and stability. Integrating these technologies enables drones for agriculture, logistics, surveillance, and rescue missions. AI advancements will further enhance adaptability and intelligence.",J. -T. Zou; Y. -J. Cheng,2025,10.1109/ICCE-Taiwan66881.2025.11207940,2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),IEEE
IEEE_0005,UAV Swarm Navigation in GNSS Denied Region with Formation Control,"UAVs are becoming extremely essential these days for many applications such as HADR missions. During these missions, there can be a loss of GPS signal due to challenging environments and terrains, and this can hinder the missions so there is a need for a system that provides UAVs the capability to do these missions even in GPS-denied environments. In most of such missions, swarms of UAVs are working. Hence, the aim of this research paper is to propose a reliable GPS-denied navigation system for swarms. The major challenge with the swarm navigation is to achieve inter-UAV collision avoidance. So, this paper mainly focuses on prevention of inter UAV collision. Therefore, to accomplish this objective, the integration of estimations by Visual Odometry and UWB module is proposed in this paper.",P. Jain; R. Qureshi; R. Nallanthighal,2023,10.1109/INCET57972.2023.10170669,2023 4th International Conference for Emerging Technology (INCET),IEEE
IEEE_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,"Reliable autonomous navigation of Unmanned Aerial Vehicles (UAVs) in GPS-denied environments remains a significant challenge due to signal attenuation, spoofing, and jamming. Indoor environments such as warehouses and industrial facilities suffer from GPS degradation caused by structural occlusions, while outdoor scenarios including forests and flat terrains lack reliable localization cues. To address these challenges, this paper presents a multi-sensor fusion framework for robust UAV navigation in GPS-compromised environments.The proposed approach employs a dual-strategy navigation framework: (i) Visual Simultaneous Localization and Mapping (VSLAM) with 3D point cloud generation for structured indoor environments, and (ii) a VSLAM-based 2D digital twin representation for outdoor environments, integrating visual data with inertial and altitude measurements. Software-in-the-loop (SIL) simulations using ROS and RTAB-Map validate autonomous navigation with obstacle avoidance in warehouse scenarios, while Hardware-in-the-loop (HIL) experiments on an in-house developed UAV platform demonstrate accurate indoor mapping and localization.The results demonstrate that the proposed vision-centric framework enables reliable navigation without dependence on GPS, offering a scalable and resilient solution for UAV operations in GPS-denied environments, with applications in inventory management, surveillance, and search-and-rescue missions.",V. V. Sai Viswa Kiran; A. S. Reddy; H. V. Sri Sai; H. Allaka; R. P. Kumar,2026,10.1109/APSCON68325.2026.11497125,2026 IEEE Applied Sensing Conference (APSCON),IEEE
IEEE_0007,BRISK-Driven Visual SLAM Loop Closure for ROS2-Based Autonomous Navigation,"This paper presents the design and implementation of a visual SLAM (Simultaneous Localization and Mapping) loop closure system for autonomous navigation using BRISK (Binary Robust Invariant Scalable Keypoints) feature descriptors on a TortoiseBot platform. The proposed system integrates visual odometry and IMU data to construct a pose graph, where loop closure constraints are established through keyframe matching based on BRISK features. The entire pipeline is developed using MATLAB and deployed on a ROS2-enabled mobile robot equipped with a monocular camera and 9-axis IMU. Loop closures are detected by comparing current frames with historical keyframes, enabling pose graph optimization that corrects accumulated drift and improves localization accuracy. Experimental validation in both simulated and real indoor environments show improved path alignment and robustness. The method is computationally efficient, making it suitable for low-cost robots in indoor navigation tasks. The approach also lays the groundwork for future enhancements involving dynamic obstacle handling and collaborative SLAM.",T. N. V. S. C. Murthy; S. Kochuvila,2026,10.1109/ICMCSI67283.2026.11412519,2026 7th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),IEEE
IEEE_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,"Unmanned Aerial Vehicles (UAV) are increasingly used in a wide range of applications such as civil infrastructure inspection, agriculture, ecology and remote sensing. UAV autonomous operation relies on the use of GPS in order to localise and plan a mission, however there are places in which GPS positioning is limited or not available, such as in urban and natural canyons or below the canopy. This paper presents the development of a framework that enables a drone to navigate in an unknown, unstructured and GPS-denied environment. The aim of this research is to combine the use of localisation algorithms such as Simultaneous Localisation and Mapping (SLAM) with Partially Observable Markov Decision Processes (POMDP) algorithms into a framework in which the navigation and exploration tasks are modelled as sequential decision problems under uncertainty. The framework tested in simulation allows the UAV to navigate safely, avoiding collisions whilst guiding exploration in order to create an occupancy map of the UAV's surroundings. The proposed system guides the UAV through a series of actions in order to maximise the information gain about the unknown environment. The implementation of the proposed framework will enable the use of UAV for autonomous navigation and exploration in challenging environments where GPS positioning is not available or limited.",F. Vanegas; K. J. Gaston; J. Roberts; F. Gonzalez,2019,10.1109/AERO.2019.8741612,2019 IEEE Aerospace Conference,IEEE
IEEE_0009,Body-Centered Dynamically-Tuned Error-State Extended Kalman Filter for Visual Inertial Odometry in GNSS-Denied Environments,"The use of visual odometry in autonomous land vehicle and unmanned ground vehicle (UGV) applications has shown to be promising in providing robust and accurate positioning and navigation in GNSS-denied environments. While GNSS is the most accurate and reliable positioning source, it cannot be received indoors. Furthermore, low-cost micro-electro-mechanical system (MEMS)-based inertial sensors are used for positioning but can result in rapid drift during prolonged GNSS outages. To address these limitations, this paper proposes an innovative method of integrating MEMS-based inertial sensors with a vision-based navigation system. The vision-based navigation relies on a visual odometry pipeline modified to replace the feature-matching step with Lucas-Kanade optical flow. While the inertial-based system is derived from the three-dimensional reduced inertial sensor system (3D-RISS) and modified for a body-centered update. The fusion of both systems is based on an Extended Kalman filter (EKF) to estimate the position and heading information and correct for inertial sensor errors. To assess the effectiveness of the proposed method, real indoor and road test trajectories were conducted using both a Husky A200 UGV and a sensor-equipped minivan. The results show that the body-centered inertial system, aided with reliable vision updates, provides a reliable positioning solution for an extended duration in GNSS-denied environments.",S. I. K. Abdelaziz; H. Y. Elghamrawy; A. M. Noureldin; G. Fotopoulos,2024,10.1109/ACCESS.2024.3357458,IEEE Access,IEEE
IEEE_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,"The capability of an Unmanned Aerial Vehicle to navigate in GNSS-denied environments is desired in many situations, especially in situation in which the GNSS signal is not trustable. In this work is presented a solution based on a low-cost UAV platform, that uses a Landmark Recognition algorithm to compensate the inertial sensors errors cumulation, aiming to perform a long-range navigation, independently of GNSS information. The results in a real-time simulation demonstrated the effectiveness of the integration between the UAV control and the computer vision, performing a successful navigation of 20.7 km long at 400 meters high, where the system has been able to estimate the coordinates during the whole route, with an average error lower than 6 meters.",A. R. Kuroswiski; N. M. F. de Oliveira; É. H. Shiguemori,2018,10.1109/SYSCON.2018.8369592,2018 Annual IEEE International Systems Conference (SysCon),IEEE
