id,pdf_filename,title,in_extracted_master,source
REC_0008,REC_0008.pdf,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,Y,IEEE_Xplore
REC_0023,REC_0023.pdf,Autonomous Aerial Navigation in GPS-Denied Environments,Y,IEEE_Xplore
REC_0035,REC_0035.pdf,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,Y,IEEE_Xplore
REC_0053,REC_0053.pdf,Vision-based Navigation of Unmanned Aerial Vehicles,Y,IEEE_Xplore
REC_0064,REC_0064.pdf,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,Y,IEEE_Xplore
REC_0084,REC_0084.pdf,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,Y,IEEE_Xplore
REC_0244,REC_0244.pdf,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environments,N,IEEE_Xplore
REC_0274,REC_0274.pdf,Navigation and control of unmanned aerial vehicles in GPS-denied environments,Y,IEEE_Xplore
REC_0391,REC_0391.pdf,Multi-UAV Collaboration and IMU Fusion Localization Method in Partial GNSS-Denied Scenarios,Y,IEEE_Xplore
REC_0485,REC_0485.pdf,Multi-Sensor 6-DoF Localization For Aerial Robots In Complex GNSS-Denied Environments,Y,IEEE_Xplore
REC_0544,REC_0544.pdf,Season-Invariant GNSS-Denied Visual Localization for UAVs,Y,IEEE_Xplore
REC_0688,REC_0688.pdf,Single Vehicle Localization and Routing in GPS-Denied Environments Using Range-Only Measurements,Y,IEEE_Xplore
REC_0994,REC_0994.pdf,Automated localization of UAVs in GPS-denied indoor construction environments using fiducial markers,Y,Scopus
REC_1025,REC_1025.pdf,A Survey on Radio Frequency based Precise Localisation Technology for UAV in GPS-denied Environment,Y,Scopus
REC_1034,REC_1034.pdf,Uavs enhanced navigation in outdoor gnss denied environment using UWB and monocular camera systems,Y,Scopus
REC_1049,REC_1049.pdf,"UAV tracking of mobile target in occluded, cluttered and GPS-denied environments",Y,Scopus
REC_1105,REC_1105.pdf,3D SCENE RECONSTRUCTION AND PATH PLANNING METHOD FOR UAV IN GNSS-DENIED ENVIRONMENT,Y,Scopus
REC_1146,REC_1146.pdf,Micro-radar and UWB aided UAV navigation in GNSS denied environment,Y,Scopus
REC_1148,REC_1148.pdf,UAV-Based Structural Health Monitoring Using a Two-Stage CNN Model with Lighthouse Localization in GNSS-Denied Environments,Y,Scopus
REC_1159,REC_1159.pdf,GPS-Denied Navigation Aided by Synthetic Aperture Radar Using the Range-Doppler Algorithm,Y,Scopus
REC_1207,REC_1207.pdf,GPS-denied indoor and outdoor monocular vision aided navigation and control of unmanned aircraft,Y,Scopus
REC_1212,REC_1212.pdf,Autonomous drone hunter operating by deep learning and all-onboard computations in GPS-denied environments,Y,Scopus
REC_1245,REC_1245.pdf,Fusion of Optical Flow and Dead Reckoning Algorithms for UAV Navigation Without GPS,Y,Scopus
REC_1270,REC_1270.pdf,Navigation of UAV in GNSS denied area,Y,Scopus
REC_1285,REC_1285.pdf,Unmanned autonomous aerial navigation in GPS-denied environments,Y,Scopus
REC_1298,REC_1298.pdf,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,Y,Scopus
REC_1306,REC_1306.pdf,UAV Visual Localization in GNSS-Denied Environments,Y,Scopus
REC_1308,REC_1308.pdf,Multi-sensor Data Fusion for Autonomous Unmanned Aerial Vehicle Navigation in GPS Denied Environments,Y,Scopus
REC_1330,REC_1330.pdf,UAV VISUAL AUTOLOCALIZATON BASED on AUTOMATIC LANDMARK RECOGNITION,Y,Scopus
REC_1358,REC_1358.pdf,An experimental analysis of outdoor UAV localisation through diverse estimators and crowd-sensed data fusion,Y,Scopus
REC_1405,REC_1405.pdf,Angle Robustness Unmanned Aerial Vehicle Navigation in GNSS-Denied Scenarios,Y,Scopus
REC_1417,REC_1417.pdf,Cellular Communication-Based Autonomous UAV Navigation with Obstacle Avoidance for Unknown Indoor Environments,Y,Scopus
REC_1573,REC_1573.pdf,Visual-based localization methods for unmanned aerial vehicles in landing operation on maritime vessel,Y,Scopus
REC_1582,REC_1582.pdf,Overview of Mutual Localization Techniques Between Unmanned Aerial Vehicles in Swarm,Y,Scopus
REC_1642,REC_1642.pdf,UAV based target finding and tracking in GPS-denied and cluttered environments,Y,Scopus
REC_1667,REC_1667.pdf,Autonomous Mapping and Navigation Unit for Aerial Robots,Y,Scopus
REC_1678,REC_1678.pdf,Position and Orientation from Asynchronous Lidar in GNSS Denied Environments,Y,Scopus
REC_1688,REC_1688.pdf,Pose estimation based on laser range finder for a quadrotor unmanned aerial vehicle in GPS-denied environment,Y,IEEE_Xplore
REC_1715,REC_1715.pdf,"Autonomous targeted flight of a rotary-wing micro aerial vehicle in indoor, GPS-denied environments",Y,Scopus
