id,title,approach_family,baseline_compared,head_to_head_result
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,LiDAR-Inertial / LiDAR SLAM,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0035,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,Visual-LiDAR Fusion,Standard_VIO,Outperforms baseline in trajectory accuracy
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,Visual-Inertial (VIO/SLAM),Standard_VIO,Outperforms baseline in trajectory accuracy
