id,title,authors,year,doi,venue,source,fulltext_available,pdf_pages,platform_type,sensor_list,primary_method,method_category,environment,experiment_type,real_or_sim,metrics_reported,ate_rmse_m,application_domain,multi_agent,notes,qa_rigor,qa_reporting,qa_baseline,qa_repro,qa_total,qa_tier,qa_notes,citation_tier
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,H. Pan; H. Ye; W. Zheng; L. Zhou,2026,10.1109/ICCIR70228.2026.11633308,IEEE Conference/Journal,IEEE_Xplore,True,4,UAV,IMU;Monocular_Camera,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Single_Agent,Parsed from 4-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera].,0,1,0,0,1,Q-low,"Rigor=0/4, Reporting=1/3, Baseline=0/2, Repro=0/1. Total=1/10 (Q-low).",Peripheral
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi,2026,10.1109/ICTP67998.2026.11485150,IEEE Conference/Journal,IEEE_Xplore,True,5,UAV,IMU;Thermal_Camera;LiDAR_3D,LiDAR_Inertial_Odometry_SLAM,LiDAR-Inertial / LiDAR SLAM,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Both_Real_and_Sim,Both,ATE_RMSE;RMSE;Success_Rate,NOT_REPORTED,Mapping/Surveying,Single_Agent,Parsed from 5-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Thermal_Camera;LiDAR_3D].,2,3,1,1,7,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=7/10 (Q-medium).",Important
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,V. V. Sai Viswa Kiran; A. S. Reddy; H. V. Sri Sai; H. Allaka; R. P. Kumar,2026,10.1109/APSCON68325.2026.11497125,IEEE Conference/Journal,IEEE_Xplore,True,4,UAV,IMU;Stereo_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Both_Real_and_Sim,Both,ATE_RMSE;Success_Rate,NOT_REPORTED,Inspection,Single_Agent,Parsed from 4-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Stereo_Camera;LiDAR_3D].,4,3,1,1,9,Q-high,"Rigor=4/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=9/10 (Q-high).",Core
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,F. Vanegas; K. J. Gaston; J. Roberts; F. Gonzalez,2019,10.1109/AERO.2019.8741612,IEEE Conference/Journal,IEEE_Xplore,True,7,UAV,IMU;Stereo_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent,NOT_REPORTED,Inspection,Single_Agent,Parsed from 7-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_3D].,1,2,1,1,5,Q-medium,"Rigor=1/4, Reporting=2/3, Baseline=1/2, Repro=1/1. Total=5/10 (Q-medium).",Important
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,A. R. Kuroswiski; N. M. F. de Oliveira; É. H. Shiguemori,2018,10.1109/SYSCON.2018.8369592,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Monocular_Camera,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Urban;Adversarial/EW,Simulation,Simulation,ATE_RMSE,NOT_REPORTED,Inspection,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera].,0,2,0,1,3,Q-low,"Rigor=0/4, Reporting=2/3, Baseline=0/2, Repro=1/1. Total=3/10 (Q-low).",Peripheral
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,S. K. Thota,2026,10.1109/ICoECIT68303.2026.11497954,IEEE Conference/Journal,IEEE_Xplore,True,6,Multi_Platform,IMU;Monocular_Camera;LiDAR_3D;UWB,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Success_Rate,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_3D;UWB].,1,3,0,0,4,Q-low,"Rigor=1/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=4/10 (Q-low).",Peripheral
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,Y. Zhou; G. Qin; F. Lin,2018,10.1109/IECON.2018.8592913,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Stereo_Camera;LiDAR_3D;UWB;Sonar,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Computational_Latency,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_3D;UWB;Sonar].,0,2,0,0,2,Q-low,"Rigor=0/4, Reporting=2/3, Baseline=0/2, Repro=0/1. Total=2/10 (Q-low).",Peripheral
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,C. Cheng; X. Li; L. Li; L. Xie,2022,10.1109/CCDC55256.2022.10034409,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Monocular_Camera;LiDAR_3D;UWB,LiDAR_Inertial_Odometry_SLAM,LiDAR-Inertial / LiDAR SLAM,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_3D;UWB].,1,3,0,0,4,Q-low,"Rigor=1/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=4/10 (Q-low).",Peripheral
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,A. Variar; B. R; A. Fathima; R. U; G. Sreenandhini; D. K. H; J. J; S. M. D,2025,10.1109/INSPIRE67328.2025.11300665,IEEE Conference/Journal,IEEE_Xplore,True,9,Multi_Platform,IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Single_Agent,Parsed from 9-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave].,1,3,1,1,6,Q-medium,"Rigor=1/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=6/10 (Q-medium).",Important
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,J. Tiemann; F. Schweikowski; C. Wietfeld,2015,10.1109/IPIN.2015.7346960,IEEE Conference/Journal,IEEE_Xplore,True,7,UAV,IMU;Radar_mmWave;UWB,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Urban;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 7-page PDF. Primary evaluation: Simulation with sensors [IMU;Radar_mmWave;UWB].,2,2,0,0,4,Q-low,"Rigor=2/4, Reporting=2/3, Baseline=0/2, Repro=0/1. Total=4/10 (Q-low).",Peripheral
REC_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,Y. Yang; J. Khalife; J. J. Morales; Z. M. Kassas,2022,10.1109/TAES.2021.3103140,IEEE Conference/Journal,IEEE_Xplore,True,16,Multi_Platform,IMU;Monocular_Camera;LiDAR_2D,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 16-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_2D].,2,3,0,0,5,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=5/10 (Q-medium).",Important
REC_0035,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,H. Shen; X. Zhang; H. Lu; B. Tian; Q. Zong,2020,10.1109/WCSP49889.2020.9299710,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Monocular_Camera;LiDAR_2D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_2D].,2,2,2,0,6,Q-medium,"Rigor=2/4, Reporting=2/3, Baseline=2/2, Repro=0/1. Total=6/10 (Q-medium).",Important
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,E. Öksüz; B. Yalçın; T. Demirdal,2026,10.1109/SIU71813.2026.11636724,IEEE Conference/Journal,IEEE_Xplore,True,4,UAV,Monocular_Camera,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;RMSE;Computational_Latency,NOT_REPORTED,Search_and_Rescue,Single_Agent,Parsed from 4-page PDF. Primary evaluation: Simulation with sensors [Monocular_Camera].,1,2,0,1,4,Q-low,"Rigor=1/4, Reporting=2/3, Baseline=0/2, Repro=1/1. Total=4/10 (Q-low).",Peripheral
REC_0041,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,H. Luo; G. Li; D. Zou; K. Li; X. Li; Z. Yang,2023,10.1109/TGRS.2023.3323519,IEEE Conference/Journal,IEEE_Xplore,True,15,Multi_Platform,IMU;Stereo_Camera;UWB;Optical_Flow,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Urban;Underground/Tunnel;Adversarial/EW,Real_World,Real_World,ATE_RMSE;RMSE;Success_Rate,NOT_REPORTED,Mapping/Surveying,Single_Agent,Parsed from 15-page PDF. Primary evaluation: Real_World with sensors [IMU;Stereo_Camera;UWB;Optical_Flow].,4,3,1,1,9,Q-high,"Rigor=4/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=9/10 (Q-high).",Core
REC_0043,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,S. M. Shithil; A. A. M. Faudzi; A. Abdullah; N. Islam; S. M. Saad,2022,10.1109/ROMA55875.2022.9915682,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Stereo_Camera;LiDAR_2D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Computational_Latency,NOT_REPORTED,Inspection,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_2D].,1,3,1,0,5,Q-medium,"Rigor=1/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=5/10 (Q-medium).",Important
REC_0053,Vision-based Navigation of Unmanned Aerial Vehicles,H. Gahlot; A. Kumar; P. Kumar; E. A. Sharma,2024,10.1109/ICACCM61117.2024.11059131,IEEE Conference/Journal,IEEE_Xplore,True,22,Multi_Platform,IMU;Thermal_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Maritime/Water,Both_Real_and_Sim,Both,ATE_RMSE;Relative_Drift_Percent;RMSE;Success_Rate,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 22-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Thermal_Camera;LiDAR_3D].,4,3,1,0,8,Q-high,"Rigor=4/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=8/10 (Q-high).",Core
REC_0057,ROS+unity: An efficient high-fidelity 3D multi-UAV navigation and control simulator in GPS-denied environments,W. Meng; Y. Hu; J. Lin; F. Lin; R. Teo,2015,10.1109/IECON.2015.7392488,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Depth_Camera;LiDAR_2D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Computational_Latency,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Depth_Camera;LiDAR_2D].,0,2,1,1,4,Q-low,"Rigor=0/4, Reporting=2/3, Baseline=1/2, Repro=1/1. Total=4/10 (Q-low).",Peripheral
REC_0064,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,I. Srisomboon; S. Lee,2024,10.1109/ACCESS.2024.3357148,IEEE Conference/Journal,IEEE_Xplore,True,15,UAV,IMU;Monocular_Camera;LiDAR_3D;UWB,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Both_Real_and_Sim,Both,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 15-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Monocular_Camera;LiDAR_3D;UWB].,2,3,0,0,5,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=5/10 (Q-medium).",Important
REC_0065,Autonomous Drones in GNSS-Denied Environments: Results from the Leonardo Drone Contest,S. Godio; F. Marino; A. Minervini; S. Primatesta; M. Chiaberge; G. Guglieri,2023,10.1109/MetroAeroSpace57412.2023.10190003,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Stereo_Camera;LiDAR_3D;UWB,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Both_Real_and_Sim,Both,ATE_RMSE;Relative_Drift_Percent;Success_Rate;Computational_Latency,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Stereo_Camera;LiDAR_3D;UWB].,2,3,1,1,7,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=7/10 (Q-medium).",Important
REC_0066,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,S. K. NT; G. U. Sai; P. K. Duba; P. Rajalakshmi,2023,10.1109/OCIT59427.2023.10431039,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Stereo_Camera;LiDAR_3D,LiDAR_Inertial_Odometry_SLAM,LiDAR-Inertial / LiDAR SLAM,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_3D].,1,3,0,0,4,Q-low,"Rigor=1/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=4/10 (Q-low).",Peripheral
REC_0071,Radar-Based High-Accuracy 3D Localization of UAVs for Landing in GNSS-Denied Environments,Y. Dobrev; Y. Dobrev; P. Gulden; M. Lipka; T. Pavlenko; D. Moormann; M. Vossiek,2018,10.1109/ICMIM.2018.8443483,IEEE Conference/Journal,IEEE_Xplore,True,4,UAV,IMU;Radar_mmWave,Radio_Based_Positioning,UWB / Radio / Beacons,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 4-page PDF. Primary evaluation: Simulation with sensors [IMU;Radar_mmWave].,2,3,0,0,5,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=5/10 (Q-medium).",Important
REC_0077,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,T. Thakkar; R. Ramirez; R. Tsui; S. Bhandari; A. Raheja,2026,10.1109/ICUAS69441.2026.11598675,IEEE Conference/Journal,IEEE_Xplore,True,8,UAV,IMU;Stereo_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Both_Real_and_Sim,Both,ATE_RMSE;RMSE;Success_Rate,NOT_REPORTED,Inspection,Single_Agent,Parsed from 8-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Stereo_Camera;LiDAR_3D].,3,3,0,1,7,Q-medium,"Rigor=3/4, Reporting=3/3, Baseline=0/2, Repro=1/1. Total=7/10 (Q-medium).",Important
REC_0080,Enabling Computer Vision-Based Autonomous Navigation for Unmanned Aerial Vehicles in Cluttered GPS-Denied Environments,F. Valenti; D. Giaquinto; L. Musto; A. Zinelli; M. Bertozzi; A. Broggi,2018,10.1109/ITSC.2018.8569695,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Stereo_Camera;LiDAR_2D;Sonar,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Urban;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Success_Rate,NOT_REPORTED,Inspection,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_2D;Sonar].,1,3,0,0,4,Q-low,"Rigor=1/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=4/10 (Q-low).",Peripheral
REC_0084,Simulating GPS-denied Autonomous UAV Navigation for Detection of Surface Water Bodies,A. D. Singh; F. Vanegas Alvarez,2020,10.1109/ICUAS48674.2020.9213927,IEEE Conference/Journal,IEEE_Xplore,True,10,Multi_Platform,IMU;Thermal_Camera,Thermal_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Underground/Tunnel;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Success_Rate,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 10-page PDF. Primary evaluation: Simulation with sensors [IMU;Thermal_Camera].,1,3,1,0,5,Q-medium,"Rigor=1/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=5/10 (Q-medium).",Important
REC_0095,Cooperative Relative Localization for UAV Swarm in GNSS-Denied Environment: A Coalition Formation Game Approach,L. Ruan; G. Li; W. Dai; S. Tian; G. Fan; J. Wang; X. Dai,2022,10.1109/JIOT.2021.3130000,IEEE Conference/Journal,IEEE_Xplore,True,18,Multi_Platform,IMU;UWB,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Underground/Tunnel;Adversarial/EW,Both_Real_and_Sim,Both,ATE_RMSE;Relative_Drift_Percent;RMSE;Success_Rate,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 18-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;UWB].,3,3,0,0,6,Q-medium,"Rigor=3/4, Reporting=3/3, Baseline=0/2, Repro=0/1. Total=6/10 (Q-medium).",Important
REC_0096,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,Y. Xianjia; L. Qingqing; J. P. Queralta; J. Heikkonen; T. Westerlund,2021,10.1109/ICAS49788.2021.9551177,IEEE Conference/Journal,IEEE_Xplore,True,5,Multi_Platform,IMU;Stereo_Camera;LiDAR_3D;UWB,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Forest/Canopy;Adversarial/EW,Both_Real_and_Sim,Both,ATE_RMSE;Success_Rate,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 5-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Stereo_Camera;LiDAR_3D;UWB].,4,3,1,0,8,Q-high,"Rigor=4/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=8/10 (Q-high).",Core
REC_0102,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,A. Moussa; I. N. Him; K. Chawqi; Y. Salih-Alj,2026,10.1109/FET68771.2026.11601505,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Stereo_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Forest/Canopy;Adversarial/EW,Both_Real_and_Sim,Both,ATE_RMSE;Relative_Drift_Percent;Success_Rate;Computational_Latency,NOT_REPORTED,Mapping/Surveying,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Stereo_Camera;LiDAR_3D].,4,3,1,1,9,Q-high,"Rigor=4/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=9/10 (Q-high).",Core
