seed_id,seed_title,backward_harvested,forward_harvested,total_harvested,dedup_corpus_matches,screened_v2,excluded_v2,included_snowball
REC_0037,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,14,7,21,9,12,12,0
REC_0068,Efficient Analog Ultrasonic Detection for Autonomous Drone Navigation in GPS-Denied Environments,12,9,21,9,12,12,0
REC_0279,LGVINS: LiDAR-GPS-Visual and Inertial System Based Multi-Sensor Fusion for Smooth and Reliable UAV State Estimation,15,9,24,10,14,14,0
REC_0475,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,13,9,22,9,13,13,0
REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,14,10,24,10,14,14,0
REC_0526,Range-Only EKF-Based Relative Navigation for UAV Swarms in GPS-Denied Zones,12,6,18,8,10,10,0
REC_0620,Terrain Aided Planetary UAV Localization Based on Geo-referencing,15,6,21,9,12,12,0
REC_0637,Miniature IMU/INS with optimally fused low drift MEMS gyro and accelerometers for applications in GPS-denied environments,12,8,20,9,11,11,0
REC_0720,Relative navigation approach for vision-based aerial GPS-denied navigation,13,9,22,9,13,13,0
REC_0779,"AerialVL: A Dataset, Baseline and Algorithm Framework for Aerial-Based Visual Localization With Reference Map",15,6,21,9,12,12,0
REC_1007,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,12,9,21,9,12,12,0
REC_1008,Visual Odometry in GPS-Denied Zones for Fixed-Wing Unmanned Aerial Vehicle with Reduced Accumulative Error Based on Satellite Imagery,15,8,23,10,13,13,0
REC_1044,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,12,6,18,8,10,10,0
REC_1069,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,12,6,18,8,10,10,0
REC_1080,Adaptive neural pose regression enabled by updatable graphics-based digital twin for robust UAV localization in GPS-denied civil infrastructure,12,10,22,9,13,13,0
REC_1096,DTVIRM-Swarm: A Distributed and Tightly Integrated Visual-Inertial-UWB-Magnetic System for Anchor Free Swarm Cooperative Localization,15,10,25,11,14,14,0
REC_1098,Long-Duration Inspection of GNSS-Denied Environments with a Tethered UAV-UGV Marsupial System †,12,8,20,9,11,11,0
REC_1099,Machine Learning-Based UAV Localization for Under-Structure Sensor Deployment in GPS-Denied Environments,12,6,18,8,10,10,0
REC_1107,Multi-UAV Cooperative Localization in Pseudolite-Augmented GNSS-Denied Regions: An Anomaly-Resilient Adaptive Kalman Filter with Group Covariance Compensation,12,10,22,9,13,13,0
REC_1135,UAV Localization in Low-Altitude GNSS-Denied Environments Based on POI and Store Signage Text Matching in UAV Images,12,8,20,9,11,11,0
REC_1142,Dual Quaternion-Based Unscented Kalman Filter with Visual Inertial Odometry for navigation in GPS-denied environments,12,7,19,8,11,11,0
REC_1145,Enhancing Integrated Navigation with a Self-Attention LSTM Hybrid Network for UAVs in GNSS-Denied Environments,13,8,21,9,12,12,0
REC_1184,GNSS-denied UAV localization with satellite and aerial image matching,14,9,23,10,13,13,0
REC_1201,A Vision-Based Technique for Unmanned Aerial Vehicles Localization,14,10,24,10,14,14,0
REC_1217,Vision based UAS navigation for RFI localization,12,8,20,9,11,11,0
REC_1224,LOFF: LiDAR and Optical Flow Fusion Odometry,13,9,22,9,13,13,0
REC_1437,Absolute Visual Localization for Aerial Vehicles Based on Deep Learning Image Matching,12,9,21,9,12,12,0
REC_1477,UAVD4L: A Large-Scale Dataset for UAV 6-DoF Localization,14,10,24,10,14,14,0
REC_1488,Distributed Relative Pose Estimation for Multi-UAV Systems Based on Inertial Navigation and Data Link Fusion,12,10,22,9,13,13,0
REC_1490,Obtaining world coordinate information of uav in gnss denied environments,12,8,20,9,11,11,0
REC_1521,Vision-based autonomous navigation for quadrotor UAVs in unknown and constrained environments,12,8,20,9,11,11,0
REC_1525,Drone carrier: An integrated unmanned surface vehicle for autonomous inspection and intervention in GNSS-denied maritime environment,12,7,19,8,11,11,0
REC_1587,Landmark-Based Scale Estimation and Correction of Visual Inertial Odometry for VTOL UAVs in a GPS-Denied Environment,12,6,18,8,10,10,0
REC_1637,Virtual testbed for monocular visual navigation of small unmanned aircraft systems,12,6,18,8,10,10,0
REC_1659,Drone-in-a-Box: A Precise Indoor Autonomous Docking System,12,10,22,9,13,13,0
REC_1662,NLOS-Aware LiDAR–UWB Fusion Localization for UAV Inspection in Converter Valve Halls,14,9,23,10,13,13,0
