id,title,abstract
REC_0014,EKF-Based Multi-Sensor Fusion for GPS-Denied Localization of an Autonomous Ground Vehicle,"This paper presents an EKF-based multi-sensor fusion framework for GPS-denied localization of an autonomous ground vehicle. The proposed system integrates measurements from an inertial measurement unit, wheel encoders, and LiDAR to estimate the vehicle pose in terms of position and heading. Wheel encoder and IMU data are used for continuous motion prediction, while LiDAR-based localization provides environmental observations to correct accumulated drift. The framework is implemented on a compact Ackermann-steering robotic platform using a modular navigation architecture that integrates mapping, localization, obstacle avoidance, and motion control. Experimental validation in GPS-denied indoor environments demonstrates that the proposed fusion approach improves pose estimation consistency compared with dead-reckoning-based localization and reduces drift during trajectory tracking. The results confirm the suitability of the proposed framework for autonomous navigation applications where GPS signals are unavailable or unreliable, such as indoor inspection, search and rescue, and autonomous logistics."
REC_0052,Multi-UAV Cooperative Localization with PSO-Based Configuration Optimization for Bridge Inspection in GNSS-Denied Environment,"Health monitoring of bridge structures imposes stringent requirements on high-precision navigation for inspection equipment, particularly in complex environments such as under-bridge areas where GNSS signals are obstructed, leading to significant positioning errors due to signal blockage or multipath effects. This paper proposes a collaborative navigation framework based on multiple unmanned aerial vehicles (UAVs), integrating one inspection UAV with a cluster of reference UAVs for auxiliary positioning to achieve real-time localization and trajectory optimization during bridge inspections. The framework employs the Gauss-Newton method for position estimation and utilizes the Particle Swarm Optimization (PSO) algorithm to dynamically adjust the spatial configuration of auxiliary UAVs, minimizing the Geometric Dilution of Precision (GDOP), ensuring trajectory smoothness, and avoiding bridge occlusions. Simulation results demonstrate that the proposed method effectively reduces the three-dimensional positioning error of the inspection UAV (mean error $<0.5 ~\mathrm{m}$). To validate the effectiveness of the proposed framework, comparative experiments were conducted against a collaborative Least Squares (UWB-LS) positioning algorithm based on Ultra-Wideband (UWB) technology. The results demonstrate that the proposed method achieves an average positioning error of approximately $0.1-0.5$ meters, significantly outperforming the UWB-LS algorithm, which yields errors of $\mathbf{0. 5 - 1. 5}$ meters. validating the feasibility and superiority of multi-UAV collaborative navigation in bridge inspection scenarios."
REC_0055,Design and Development of Autonomous Mobile Robot for Mapping and Navigation System,"Mobile Robot for Mapping and Navigation is one of the challenging researches in the area of robotics. An unknown indoor and outdoor mapping in dynamic environment is used for navigation of robot. This research focuses on mapping utilizing a GMapping approach that uses simultaneous localization and mapping (SLAM). The concept of navigation or autonomous driving is used in SLAM it helps for mobile robot to move independently. SLAM and RVIZ GMapping software that is available an open source, along with the Robotic Operating System (ROS) and RPLiDAR camera, is required to map an unknown dynamic indoor environment. The laser data and navigation messages are passed to mapping in an unknowable environment, the SLAM GMapping function is taken into account. The command for autonomous navigation will be designed and delivered by the navigation stack after the mapping has been generated."
REC_0062,Multi-robot cooperative navigation with active sensing in a GPS-denied environment,"We consider a cooperative navigation problem for a group of robots in a GPS-denied environment. It is well known that using only odometry measurements leads to drift in localization. However, it is possible to leverage inter-robot measurements and reduce the localization drift. In this paper, we assume that in addition to odometry information, each robot measures its relative range to others prescribed by a measurement graph. We aim to create active sensing strategies that improve cooperative localization performance with access to only the range and odometry measurements. Motivated by the popular factor graph-based smoothing and mapping framework, we propose a metric to measure the quality of a path for cooperative navigation. We design an active sensing algorithm based on model predictive control to optimize such a metric. From our Monte-Carlo simulation results, the active sensing algorithm reduces the localization uncertainty and outperforms baseline algorithms."
REC_0066,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,"This paper discussed cost-effective vision-based obstacle avoidance for Unmanned Aerial Vehicles (UAVs) operating in GPS-denied environments. The system combines the You Only Look Once (YOLO) architecture with stereo vision cameras (OAK-D Lite), a Raspberry Pi computer, and a flight controller unit (Pixhawk-Cube). Navigating safely through obstacles becomes challenging for UAVs in GPS-denied environments. To address this issue, the drone is configured in altitude hold mode, and the system is trained on the Common Objects in Context (COCO) dataset, enabling it to recognize objects and analyze the surrounding areas to identify free spaces. By doing so, the drone can traverse an obstacle-free path. The detected obstacle information is then utilized to generate avoidance trajectories, allowing the UAV to navigate around obstacles safely. Real-time testing of the proposed technique demonstrates its efficacy in detecting and avoiding obstacles within a threshold distance of 2 meters, with an error rate of 10%. The drone’s relative speed is configured at 2 m/s during these tests."
REC_0179,Wireless Local Positioning System for Controlled UAV Landing in GNSS-Denied Environment,"A novel concept for ad-hoc landing of unmanned aerial vehicles (UAV) in GNSS-denied environment is presented in this paper. In our concept at the beginning of the landing phase the UAV drops several active beacons down to the landing site. It enables the UAV to localize itself via distance and angle information to the deployed beacons. The presented wireless local positioning system is based on 24 GHz secondary radar sensors and allows for accurate and robust 3D-positioning even in harsh weather conditions. The specially designed antennas with large angular coverage assure UAV localization disregarding the beacon's position and orientation. The developed beacon design has small size, low weight and power consumption that perfectly suits the application goal. Measurements of localization and landing scenario using four beacons and the radar unit installed on the drone are shown. The 3D-positioning of the UAV with the RMSE under 36 cm using only a single beacon and 31 cm using four beacons were achieved. These results verify the application of the proposed system as an accurate and redundant UAV landing solution."
REC_0190,Autonomous humanoid robot navigation using augmented reality technique,"This work presents a novel vision-based navigation strategy for autonomous humanoid robots using augmented reality (AR). In the first stage, a platform is developed for indoor and outdoor human location positioning and navigation using mobile augmented reality. The image sequence would be obtained by a smart phone's camera and the location information will be provided to the user in the form of 3D graphics and audio effects containing location information. To recognize a location, an image database and location model is pre-constructed to relate the detected AR-marker's position to the map of environment. The AR-markers basically act as active landmarks placed in undiscovered environments, sending out location information once detected by a camera. The second stage implements the same algorithm on an autonomous humanoid robot to be used as its navigation module. This is achieved by coupling the robot odometry and inertial sensing with the visual marker detection module. Using this system, the robot employs its vision system to enhance its localization robustness and allow quick recovery in lost situations by detecting the active landmarks or the so called AR-markers. The problem of motion blur resulting from the 6-DOF motion of humanoid's camera is solved using an adaptive thresholding technique developed to increase the robustness of the augmented reality marker detection under different illumination conditions and camera movements. For our experiments, we used the humanoid robot NAO and verified the performance of this navigation methodology in real-world scenarios."
REC_0192,Visual-Based Deep Reinforcement Learning for Mobile Robot Obstacle Avoidance Navigation,"To address the issue of navigation failure caused by light reflection in real-world navigation scenarios using inexpensive 2D LiDARs, traditional SAC-based algorithms face challenges such as inability to train in highly randomized and sparsely rewarded environments, as well as slow training. In this paper, we propose a combination of a monocular camera and a depth estimation model as a substitute for the inexpensive 2D LiDAR and introduce a variant algorithm called Sharing Encoder Self-Attention Soft Actor Critic (SESA-SAC) for collision-free indoor navigation of mobile robots. To improve the efficiency of robot learning in sparse environments, we collect expert data from 200 episodes and store them in a replay buffer. We conduct training by randomly sampling from both exploration data and expert data, without pre-training. To enhance training performance, we introduce a channel-wise self-attention structure and layer normalization in the network to learn better features. Additionally, we propose a shared feature extractor to achieve more stable training. Moreover, we conduct training and testing in GAZEBO, and the experimental results demonstrate that our proposed SESA-SAC algorithm outperforms traditional SAC algorithms in terms of convergence speed, stability, and efficiency for indoor navigation tasks."
REC_0199,An Autonomous Simultaneous Localization and Mapping Walker for Indoor Navigation,"Walkers have been used to help the elderly and individuals with movement disorders as an assistive and rehabilitation tool. This study presents a smart walker, a system which guides the users to navigate in an indoor environment. The Walker can be controlled by voice commands to create location markers and navigate the user while avoiding obstacles. We evaluated three localization implementations, namely, Adaptive Monte Carlo Localization (AMCL), Gmapping and Hector_Slam for this system and compared their navigation accuracy with an ideal path. We collected the data on the paths of AMCL, Gmapping and Hector_Slam and applied statistical tests on the data. The results show that AMCL achieves the lowest mean absolute error while navigating to its goal with an error of 2.15% over the path distance, as compared to Gmapping and Hector in this implementation."
REC_0210,SLAM-Based Autonomous Indoor Navigation System For Electric Wheelchairs,"Commercial electric wheelchairs have become cheaper due to the development of related technologies and equipment in recent years. Most of them need the user to control directions using joysticks or handles in order to navigate in indoor environments. This paper presents the development of an indoor autonomous navigation system for electric wheelchairs. The developed system uses 2d lidar to scan obstacles, walls around it and then create a map of its surrounding and localize itself in the map while moving autonomously in indoor environments without inputs from a user. The system is integrated using hardware which is safe for humans and uses open-source software which permits easy and safe integration with an existing electric wheelchair."
REC_0229,Simulation of Indoor Localization and Navigation of Turtlebot 3 using Real Time Object Detection,"This paper proposes a method for indoor localization and navigation of Turtlebot 3 using Real Time Object Detection (RTOD). The robot is capable of recognizing the room it is placed inside based on the knowledge of positions of certain fixed arbitrary objects. The robot then proceeds to understand its position inside the room and is capable of moving to other locations. The robot is simulated using the ROS and Gazebo framework. The RTOD is trained to identify certain distinct objects like a rover, bowl, quadcopter and wheel based on which the robot is able to ascertain its location."
REC_0286,A Multi-Stage Matching-Based Inertial/Geomagnetic Integrated Navigation Algorithm for UAVs in GNSS-Denied Environments,"In near-Earth space, magnetic field information may exhibit similarity across different locations, implying that single-point positioning cannot be achieved merely by using geomagnetic information. However, a correspondence exists between the correlation of geomagnetic fields and the continuity of motion trajectories. Therefore, building upon the initial navigation information provided by inertial navigation systems (INS), high-precision navigation and positioning can be realized by performing correlation matching between real-time measured geomagnetic sequences along the trajectory and pre-stored geomagnetic maps. High-precision navigation without GNSS presents significant challenges, and geomagnetic field-aided inertial navigation serves as one potential solution. The classical Magnetic Contour Matching (MAGCOM) algorithm’s effectiveness depends on its search area, which is typically fixed, resulting in limited algorithm flexibility. Meanwhile, the traditional Iterative Closest Contour Point (ICCP) algorithm demands high sensor performance, exhibits poor noise tolerance, and suffers from computational complexity and inadequate real-time performance. To address these limitations, this paper proposes an inertial/geomagnetic integrated navigation algorithm based on geomagnetic maps. The complete algorithm consists of four key stages: initial position determination, coarse matching, fine matching, and integrated filtering. Firstly, the point on the contour line closest to the INS-indicated starting position is selected as the search center. This approach significantly reduces subsequent computational workload while ensuring matching reliability. During coarse matching, contour constraints are employed to limit the search area, thereby improving matching efficiency. The Mean Absolute Difference (MAD) algorithm serves as the correlation criterion for matching. Although coarse matching reduces the computational burden, residual errors from inertial calculations persist and may degrade positioning accuracy. The fine matching process further constrains inertial navigation error accumulation through additional contour line constraints. The refined matching results are then input as position observations into a State Transformation Extended Kalman Filter (ST-EKF) to correct system parameters, with the final output representing the algorithm’s ultimate navigation solution. To evaluate the algorithm’s performance, experimental validation was conducted on a UAV platform. The tests were performed along predefined flight paths within a designated area at altitudes of 450 meters, 260 meters, and 70 meters, respectively. The obtained average position estimation errors were 72.0 meters, 25.1 meters, and 21.9 meters, meeting the requirements for typical UAV autonomous navigation and positioning. The proposed algorithm demonstrates superior performance over two classical geomagnetic matching navigation algorithms in most evaluation metrics, offering a viable solution for long-endurance positioning in GNSS-denied environments."
REC_0319,UKF SLAM-Enhanced Perception and Navigation for Effective Area Coverage in Autonomous Driving,"Reliability in decision-making, path planning, and motion control is significantly influenced by localization accuracy and integrity, which poses a fundamental challenge for au-tonomous ground vehicles. To address errors induced by external factors in GPS-based pose estimation, this study introduces a method that combines GNSSI/MU data with landmark-based environment mapping constructed from laser scan data. The integration of measurements from multiple sensors and the enhancement of accuracy and dependability in the estimation process were achieved using the Unscented Kalman Filter (UKF) for multi-sensor data fusion. Comprehensive experiments con-ducted across various datasets and under diverse conditions demonstrate that our proposed technique achieves high accu-racy and robustness in state estimation. Its precision remains consistent with ground truth even in the presence of noise, underscoring its reliability. Moreover, the incorporation of a scan-matching approach significantly improves map estimation precision, contributing to enhanced overall pose estimation and localization accuracy. This capability underscores the effective-ness of our approach in navigating and mapping dynamic and noisy environments, making it a valuable tool for a variety of robotics and autonomous system applications"
