id,title,authors,year,doi,venue,source,fulltext_available,pdf_pages,platform_type,sensor_list,primary_method,method_category,environment,experiment_type,real_or_sim,metrics_reported,ate_rmse_m,application_domain,multi_agent,notes,qa_rigor,qa_reporting,qa_baseline,qa_repro,qa_total,qa_tier,qa_notes,citation_tier
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi,2026,10.1109/ICTP67998.2026.11485150,IEEE Conference/Journal,IEEE_Xplore,True,5,UAV,IMU;Thermal_Camera;LiDAR_3D,LiDAR_Inertial_Odometry_SLAM,LiDAR-Inertial / LiDAR SLAM,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Both_Real_and_Sim,Both,ATE_RMSE;RMSE;Success_Rate,NOT_REPORTED,Mapping/Surveying,Single_Agent,Parsed from 5-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Thermal_Camera;LiDAR_3D].,3,3,1,1,8,Q-high,"Rigor=3/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=8/10 (Q-high).",Core
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,V. V. Sai Viswa Kiran; A. S. Reddy; H. V. Sri Sai; H. Allaka; R. P. Kumar,2026,10.1109/APSCON68325.2026.11497125,IEEE Conference/Journal,IEEE_Xplore,True,4,UAV,IMU;Stereo_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Both_Real_and_Sim,Both,ATE_RMSE;Success_Rate,NOT_REPORTED,Inspection,Single_Agent,Parsed from 4-page PDF. Primary evaluation: Both_Real_and_Sim with sensors [IMU;Stereo_Camera;LiDAR_3D].,4,3,1,1,9,Q-high,"Rigor=4/4, Reporting=3/3, Baseline=1/2, Repro=1/1. Total=9/10 (Q-high).",Core
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,F. Vanegas; K. J. Gaston; J. Roberts; F. Gonzalez,2019,10.1109/AERO.2019.8741612,IEEE Conference/Journal,IEEE_Xplore,True,7,UAV,IMU;Stereo_Camera;LiDAR_3D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent,NOT_REPORTED,Inspection,Single_Agent,Parsed from 7-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_3D].,1,2,1,1,5,Q-medium,"Rigor=1/4, Reporting=2/3, Baseline=1/2, Repro=1/1. Total=5/10 (Q-medium).",Important
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,A. R. Kuroswiski; N. M. F. de Oliveira; É. H. Shiguemori,2018,10.1109/SYSCON.2018.8369592,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Monocular_Camera,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Urban;Adversarial/EW,Simulation,Simulation,ATE_RMSE,NOT_REPORTED,Inspection,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera].,1,2,0,1,4,Q-medium,"Rigor=1/4, Reporting=2/3, Baseline=0/2, Repro=1/1. Total=4/10 (Q-medium).",Important
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,S. K. Thota,2026,10.1109/ICoECIT68303.2026.11497954,IEEE Conference/Journal,IEEE_Xplore,True,6,Multi_Platform,IMU;Monocular_Camera;LiDAR_3D;UWB,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Success_Rate,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_3D;UWB].,1,3,1,0,5,Q-medium,"Rigor=1/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=5/10 (Q-medium).",Important
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,C. Cheng; X. Li; L. Li; L. Xie,2022,10.1109/CCDC55256.2022.10034409,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Monocular_Camera;LiDAR_3D;UWB,LiDAR_Inertial_Odometry_SLAM,LiDAR-Inertial / LiDAR SLAM,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_3D;UWB].,2,3,1,0,6,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=6/10 (Q-medium).",Important
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,A. Variar; B. R; A. Fathima; R. U; G. Sreenandhini; D. K. H; J. J; S. M. D,2025,10.1109/INSPIRE67328.2025.11300665,IEEE Conference/Journal,IEEE_Xplore,True,9,Multi_Platform,IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Single_Agent,Parsed from 9-page PDF. Primary evaluation: Simulation with sensors [IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave].,1,2,1,1,5,Q-medium,"Rigor=1/4, Reporting=2/3, Baseline=1/2, Repro=1/1. Total=5/10 (Q-medium).",Important
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,J. Tiemann; F. Schweikowski; C. Wietfeld,2015,10.1109/IPIN.2015.7346960,IEEE Conference/Journal,IEEE_Xplore,True,7,UAV,IMU;Radar_mmWave;UWB,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Urban;Adversarial/EW,Simulation,Simulation,ATE_RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Multi_Agent,Parsed from 7-page PDF. Primary evaluation: Simulation with sensors [IMU;Radar_mmWave;UWB].,1,2,1,0,4,Q-medium,"Rigor=1/4, Reporting=2/3, Baseline=1/2, Repro=0/1. Total=4/10 (Q-medium).",Important
REC_0028,UAV Waypoint Opportunistic Navigation in GNSS-Denied Environments,Y. Yang; J. Khalife; J. J. Morales; Z. M. Kassas,2022,10.1109/TAES.2021.3103140,IEEE Conference/Journal,IEEE_Xplore,True,16,Multi_Platform,IMU;Monocular_Camera;LiDAR_2D,Visual_Inertial_Odometry,Visual-Inertial (VIO/SLAM),Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;RMSE;Success_Rate;Computational_Latency,NOT_REPORTED,Mapping/Surveying,Multi_Agent,Parsed from 16-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_2D].,2,3,1,0,6,Q-medium,"Rigor=2/4, Reporting=3/3, Baseline=1/2, Repro=0/1. Total=6/10 (Q-medium).",Important
REC_0035,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,H. Shen; X. Zhang; H. Lu; B. Tian; Q. Zong,2020,10.1109/WCSP49889.2020.9299710,IEEE Conference/Journal,IEEE_Xplore,True,6,UAV,IMU;Monocular_Camera;LiDAR_2D,Visual_LiDAR_Inertial_Fusion,Visual-LiDAR Fusion,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Simulation,Simulation,ATE_RMSE;Relative_Drift_Percent;Success_Rate;Computational_Latency,NOT_REPORTED,Inspection,Single_Agent,Parsed from 6-page PDF. Primary evaluation: Simulation with sensors [IMU;Monocular_Camera;LiDAR_2D].,2,1,2,0,5,Q-medium,"Rigor=2/4, Reporting=1/3, Baseline=2/2, Repro=0/1. Total=5/10 (Q-medium).",Important
