id,title,abstract,authors,year,doi,venue,source,ai_decision,ai_confidence,criteria_triggered,justification
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,"This paper proposes a BIM-assisted UAV topological localization and navigation framework for GPS-denied indoor environments. The method transforms BIM data into a semantic-topological graph containing rooms, corridors, staircases, and connectivity relationships. UAV image observations are converted into candidate BIM nodes through spatial semantic recognition and OCR-based textual matching rather than directly estimating metric coordinates. A topology-aware recursive localization mechanism is then introduced by integrating BIM adjacency constraints and historical states to infer the most probable indoor location. Furthermore, semantic-cost A* planning is employed to validate whether the estimated topological nodes can support indoor navigation tasks. Experiments were conducted in a real university teaching-building environment with 721 indoor images and 74 navigation frames. Results demonstrate that the proposed framework achieves 95.95% localization coverage and 100% valid-frame node accuracy, showing strong robustness and interpretability for indoor UAV localization and navigation.",H. Pan; H. Ye; W. Zheng; L. Zhou,2026,10.1109/ICCIR70228.2026.11633308,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,"This paper presents the real-time implementation of a visual Simultaneous Localization and Mapping (SLAM) for indoor quadcopter navigation. The research aims to autonomously navigate in GPS-denied spaces by localization and mapping in real time. The proposed system integrates an Intel RealSense D435 depth camera, a Raspberry Pi 4B for onboard computation, a laser rangefinder for altitude measurement, and a Pixhawk 4 flight controller. The RTAB-Map SLAM is first tested in a simulation using ROS and Gazebo to ensure its robustness and further deployed in real-world experiments. The experiments carried out successfully demonstrated autonomous indoor UAV navigation with a quadcopter operating at a maximum speed of 0.5 m/s while maintaining a set altitude of 0.5 m with a mean path error and mean altitude deviation of 0.094 ± 0.031 m and 0.027 ± 0.005 m respectively, across different indoor environments, while producing 2D grid maps and 3D point cloud (PCL) maps. This work demonstrates that indoor autonomous UAV navigation can be realized using low-cost, off-the-shelf components and open-source SLAM techniques.",L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi,2026,10.1109/ICTP67998.2026.11485150,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,"Reliable autonomous navigation of Unmanned Aerial Vehicles (UAVs) in GPS-denied environments remains a significant challenge due to signal attenuation, spoofing, and jamming. Indoor environments such as warehouses and industrial facilities suffer from GPS degradation caused by structural occlusions, while outdoor scenarios including forests and flat terrains lack reliable localization cues. To address these challenges, this paper presents a multi-sensor fusion framework for robust UAV navigation in GPS-compromised environments.The proposed approach employs a dual-strategy navigation framework: (i) Visual Simultaneous Localization and Mapping (VSLAM) with 3D point cloud generation for structured indoor environments, and (ii) a VSLAM-based 2D digital twin representation for outdoor environments, integrating visual data with inertial and altitude measurements. Software-in-the-loop (SIL) simulations using ROS and RTAB-Map validate autonomous navigation with obstacle avoidance in warehouse scenarios, while Hardware-in-the-loop (HIL) experiments on an in-house developed UAV platform demonstrate accurate indoor mapping and localization.The results demonstrate that the proposed vision-centric framework enables reliable navigation without dependence on GPS, offering a scalable and resilient solution for UAV operations in GPS-denied environments, with applications in inventory management, surveillance, and search-and-rescue missions.",V. V. Sai Viswa Kiran; A. S. Reddy; H. V. Sri Sai; H. Allaka; R. P. Kumar,2026,10.1109/APSCON68325.2026.11497125,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,"Unmanned Aerial Vehicles (UAV) are increasingly used in a wide range of applications such as civil infrastructure inspection, agriculture, ecology and remote sensing. UAV autonomous operation relies on the use of GPS in order to localise and plan a mission, however there are places in which GPS positioning is limited or not available, such as in urban and natural canyons or below the canopy. This paper presents the development of a framework that enables a drone to navigate in an unknown, unstructured and GPS-denied environment. The aim of this research is to combine the use of localisation algorithms such as Simultaneous Localisation and Mapping (SLAM) with Partially Observable Markov Decision Processes (POMDP) algorithms into a framework in which the navigation and exploration tasks are modelled as sequential decision problems under uncertainty. The framework tested in simulation allows the UAV to navigate safely, avoiding collisions whilst guiding exploration in order to create an occupancy map of the UAV's surroundings. The proposed system guides the UAV through a series of actions in order to maximise the information gain about the unknown environment. The implementation of the proposed framework will enable the use of UAV for autonomous navigation and exploration in challenging environments where GPS positioning is not available or limited.",F. Vanegas; K. J. Gaston; J. Roberts; F. Gonzalez,2019,10.1109/AERO.2019.8741612,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,"The capability of an Unmanned Aerial Vehicle to navigate in GNSS-denied environments is desired in many situations, especially in situation in which the GNSS signal is not trustable. In this work is presented a solution based on a low-cost UAV platform, that uses a Landmark Recognition algorithm to compensate the inertial sensors errors cumulation, aiming to perform a long-range navigation, independently of GNSS information. The results in a real-time simulation demonstrated the effectiveness of the integration between the UAV control and the computer vision, performing a successful navigation of 20.7 km long at 400 meters high, where the system has been able to estimate the coordinates during the whole route, with an average error lower than 6 meters.",A. R. Kuroswiski; N. M. F. de Oliveira; É. H. Shiguemori,2018,10.1109/SYSCON.2018.8369592,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,"Solutions for getting drone swarms localized when GPS is out of the picture. That's a big problem, really cuts into how reliable those autonomous jobs can be. This paper brings in a model that uses quantum stuff to boost the accuracy and how well the drones stick together. The idea here mixes quantum entanglement for syncing up between drones. It also throws in quantum-enhanced Kalman filtering to fuse sensor data better. That way, they get positions figured out more precisely and tougher against messes. We ran experiments on simulated groups of 10 drones. The setup cut down localization errors. It boosted computational efficiency too, by 25 per cent and 30 per cent in swarms dealing with different levels of interference. The thing is, these results point to quantum computing stepping up as a solid, scalable fix for swarm localization issues. It has real potential out there in tough spots without GPS, like disaster responses or city ops and even military stuff. The paper spells out how quantum tech could lead to the next wave of autonomous systems. It spots chances for using quantum algorithms in real-time navigation with multiple agents.",S. K. Thota,2026,10.1109/ICoECIT68303.2026.11497954,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,"In order to develop a nano UAV in a GPS-denied environment, a visual-inertial system (VINS) consisting of a monocular camera and a low-cost inertial measurement unit (IMU) should be integrated, as they make a minimum, ultra lightweight sensor suite that enables both autonomous flight and sufficient environment awareness. Although there are numerous potential applications, getting to understand the structure of the flight platform can be cumbersome and confusing. Packages and resources provided on the Qualcomm developer network (QCN) and their official GitHub group ATLFlight contain un-unified and disorderly chunks of information. In this paper, we present an organized documentation that presents in detail, the platform structure as a whole, from hardware to software architecture, including installation and API related applications.",Y. Zhou; G. Qin; F. Lin,2018,10.1109/IECON.2018.8592913,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,"In this paper, we study the docking problem between a UAV and a mobile platform (MP) by estimating the relative position through distance information and its own displacement, and design the approaching trajectory for eliminating the need of any global positioning systems or other infrastructures. The main challenges of this problem are to estimate the relative position between the UAV and the MP and design controllers for the navigation trajectory control. Since the MP is not equipped with odometer and its motion changes from time to time, the UAV is iteratively navigated using the estimated relative positions to make it infinitely close to the MP, so that the MP finally enters the field of view of the camera and accomplishes the autonomous docking. A simulation experiment is carried out and the theoretical results are verified.",C. Cheng; X. Li; L. Li; L. Xie,2022,10.1109/CCDC55256.2022.10034409,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,"In the absence of reliable GPS or GNSS navigation systems, commercial drones fail to complete their tasks successfully. This paper proposes an autonomous navigation system that does not rely on GPS, GNSS or external markers. It instead utilizes custom navigation algorithms in place of traditional positioning systems. The navigation system employs a stereo depth camera, LiDAR, and an optical flow sensor. To process environmental data more efficiently, the system employs a 'tunnel vision' approach, which narrows the field of view to reduce computational load. This is complemented by a sliding window algorithm for processing the area in a linear manner, systematically searching for landable/landing zones. These algorithms can be effectively applied in GPS-denied environments, such as disaster-stricken areas, to facilitate rapid assessment and mapping of affected zones.",A. Variar; B. R; A. Fathima; R. U; G. Sreenandhini; D. K. H; J. J; S. M. D,2025,10.1109/INSPIRE67328.2025.11300665,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
REC_0025,Design of an UWB indoor-positioning system for UAV navigation in GNSS-denied environments,"Commonly used unmanned aerial vehicle (UAV) platforms rely on the use of global navigation satellite system (GNSS) receivers for navigation. To enable the autonomous navigation of cooperative UAVs in GNSS-denied environments, the use of an ultra-wideband (UWB) positioning system is proposed. This paper discusses the design and evaluation of a practical and cooperative UWB positioning system using newly available integrated radio frequency hardware and antennas. Constellation-aware parameters, as well as other effects like antenna characteristics, are taken into consideration. A non-line-of-sight rejection is implemented based on the ratio of the first path compared to the power of the cumulated channel impulse response. An experiment covering a range of positions and orientations is conducted to gain a broad, representative set of results to assess the system accuracy in real-life usage. In a first experiment the system performance achieves a root-mean-square error of under 10 cm in the horizontal plane and under 20 cm in the three-dimensional space with a probability of 95 %. A GNSS emulation system is implemented to evaluate the real-time in-flight use of the UWB positioning system on an experimental UAV carrier. A proof of concept is given that the GNSS emulation may be used with commercially available UAV platforms to augment those systems with indoor navigation capabilities.",J. Tiemann; F. Schweikowski; C. Wietfeld,2015,10.1109/IPIN.2015.7346960,,IEEE_Xplore,include,high,"[""I1"", ""I2"", ""I3"", ""I4"", ""I5"", ""I6""]",UAV platform with primary GNSS-denied navigation contribution and quantitative results.
