source,original_id,title,drop_reason
IEEE,IEEE Conferences,Indoor radar SLAM A radar application for vision and GPS denied environments,Title+Year Match
Scopus,SCOPUS_0001,A High Accuracy and Large-Scale Detection for Fixed-Wing UAV Autonomous Ground Landing With GNSS-Denied,DOI Match
Scopus,SCOPUS_0003,Tightly Coupled Multifactor Optimization-Based Hybrid Visual Localization for UAV,DOI Match
Scopus,SCOPUS_0004,Adaptive-Weighted EKF and LiDAR-IMU Tight-Coupling Enabled GPS-Denied UAV Navigation,DOI Match
Scopus,SCOPUS_0005,Robust UAV Localization in GNSS-Denied Environments via Efficient Visual Scene Matching-Inertial Fusion,DOI Match
Scopus,SCOPUS_0009,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,DOI Match
Scopus,SCOPUS_0010,A Novel Geolocalization Algorithm for UAV Under GNSS-denied Environment using Heading Estimation before Image Matching,DOI Match
Scopus,SCOPUS_0016,Cooperative UWB-based localization for outdoors positioning and navigation of UAVs aided by ground robots,DOI Match
Scopus,SCOPUS_0019,Autonomous Navigation Systems in GPS-Denied Environments: A Review of Techniques and Applications,DOI Match
Scopus,SCOPUS_0020,Optimal Navigation and Obstacle Avoidance for UAV in Urban Canyons,DOI Match
Scopus,SCOPUS_0021,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,DOI Match
Scopus,SCOPUS_0024,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,DOI Match
Scopus,SCOPUS_0025,Optimization of Localization Error in Multi-Agent Systems through Cooperative Positioning: Autonomous Navigation in Partially Denied GNSS Environments,DOI Match
Scopus,SCOPUS_0028,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,DOI Match
Scopus,SCOPUS_0032,Real-Time SLAM Based on Image Stitching for Autonomous Navigation of UAVs in GNSS-Denied Regions,DOI Match
Scopus,SCOPUS_0034,"Self-Positioning for UAV indoor navigation based on 3D laser scanner, UWB and INS",DOI Match
Scopus,SCOPUS_0036,Survey on UAV navigation in GPS denied environments,DOI Match
Scopus,SCOPUS_0038,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,DOI Match
Scopus,SCOPUS_0039,Location Aware and Drift Control Using a Smartphone On-board an Unmanned Aerial Vehicle,DOI Match
Scopus,SCOPUS_0041,"Enhanced V-SLAM combining SVO and ORB-SLAM2, with reduced computational complexity, to improve autonomous indoor mini-drone navigation under varying conditions",DOI Match
Scopus,SCOPUS_0045,Cooperative Localization of Multi-Agent Autonomous Aerial Vehicle (AAV) Networks in Intelligent Transportation Systems,DOI Match
Scopus,SCOPUS_0046,Multi-robot cooperative navigation with active sensing in a GPS-denied environment,DOI Match
Scopus,SCOPUS_0047,An RPLiDAR based SLAM equipped with IMU for Autonomous Navigation of Wheeled Mobile Robot,DOI Match
Scopus,SCOPUS_0048,An integrated system using federated kalman filter for ugv navigation in gnss-denied environment,DOI Match
