id,title,abstract,authors,year,doi,venue,source
SCOPUS_0001,A High Accuracy and Large-Scale Detection for Fixed-Wing UAV Autonomous Ground Landing With GNSS-Denied,"This paper concentrates on the ground-guided autonomous landing of a fixed-wing Unmanned Aerial Vehicle (UAV) within Global Navigation Satellite System (GNSS) denied environments. A highly accurate and large-scale automatic landing system for fixed-wing UAVs in GNSS-denied environments is proposed, leveraging advanced multi-sensor fusion techniques. To address the challenge of low accuracy over extended ranges, a distance measurement module is introduced as a key component. Additionally, the integration of near-infrared and visible cameras ensures precise UAV detection, thereby significantly enhancing the system’s reliability and overall performance. To further facilitate large-scale range detection in GNSS-denied conditions, a landing guidance window is developed, enabling the efficient search for and tracking of UAVs. Moreover, a joint calibration method (JCM) is implemented to minimize discrepancies between the system’s outputs and GNSS data. This method involves a systematic two-step calibration process: first, the GNSS and pan-tilt unit (PTU) coordinate systems are aligned on the runway, and then the PTU and landing point coordinate systems are calibrated. At the same time, the near-infrared and visible cameras are calibrated simultaneously to ensure synchronized and accurate performance across the system. To demonstrate the generalizability and robustness of this approach, the proposed system is implemented on two UAV platforms tested across diverse and complex scenarios. When compared to state-of-the-art methods, the proposed system not only achieves superior accuracy but also exhibits exceptional scalability, making it particularly well-suited for GNSS-denied environments. © 2013 IEEE.",Fang B.; Zhong Z.; Jiang X.,2025,10.1109/ACCESS.2025.3550127,IEEE Access,Scopus
SCOPUS_0002,"Fast, autonomous flight in GPS-denied and cluttered environments","One of the most challenging tasks for a flying robot is to autonomously navigate between target locations quickly and reliably while avoiding obstacles in its path, and with little to no a priori knowledge of the operating environment. This challenge is addressed in the present paper. We describe the system design and software architecture of our proposed solution and showcase how all the distinct components can be integrated to enable smooth robot operation. We provide critical insight on hardware and software component selection and development and present results from extensive experimental testing in real-world warehouse environments. Experimental testing reveals that our proposed solution can deliver fast and robust aerial robot autonomous navigation in cluttered, GPS-denied environments. © 2017 Wiley Periodicals, Inc.",Mohta K.; Watterson M.; Mulgaonkar Y.; Liu S.; Qu C.; Makineni A.; Saulnier K.; Sun K.; Zhu A.; Delmerico J.; Karydis K.; Atanasov N.; Loianno G.; Scaramuzza D.; Daniilidis K.; Taylor C.J.; Kumar V.,2018,10.1002/rob.21774,Journal of Field Robotics,Scopus
SCOPUS_0003,Tightly Coupled Multifactor Optimization-Based Hybrid Visual Localization for UAV,"The localization method based on aerial images and satellite maps is an effective solution for unmanned aerial vehicles (UAVs) in Global Navigation Satellite Systems (GNSS) denied conditions. However, in addition to differences in scale and perspective, the difficulty of matching increases due to changes in lighting and terrain. At the same time, the search area of the satellite map relies on previous matching results, so previous errors can easily cause cascading effects, significantly reducing the accuracy of localization. To overcome these challenges, a multifactor tightly coupled visual localization method is proposed in this article, which avoids the interference of single-modal outliers by introducing multifactor joint optimization. Second, a search strategy on the satellite map is proposed, which continuously updates the candidate area based on the status of the UAV to improve the efficiency of the search and the accuracy of matching. Finally, an updated method of satellite map is designed to avoid matching failures caused by lagging satellite map updates. Multiple times of experiments are conducted using two different types of UAVs in different conditions, ranges, altitudes, and speeds to verify the effectiveness of the proposed method. Comparison with the state-of-the-art visual localization method shows that the proposed method improves the accuracy of localization by 27.1% and the efficiency of processing by 30.6%. © 1963-2012 IEEE.",Chen L.; Guo Z.; Wang N.; Chen W.; He J.; Zhang X.; Sun H.,2025,10.1109/TIM.2025.3597617,IEEE Transactions on Instrumentation and Measurement,Scopus
SCOPUS_0004,Adaptive-Weighted EKF and LiDAR-IMU Tight-Coupling Enabled GPS-Denied UAV Navigation,"To address the problems of localization drift and unstable flight performance of unmanned aerial vehicles (UAVs) in GPS-denied environments, this paper proposes an autonomous navigation framework based on Adaptive-Weighted Extended Kalman Filtering (AW-EKF) and tightly coupled LiDAR-IMU fusion. The system employs an open-source Pixhawk flight controller and a Livox Mid-360 LiDAR, and establishes a real-time perception-fusion-control loop through sensor clock synchronization, point-cloud distortion compensation, sliding-window feature optimization, and adaptive gain feedforward control. The proposed AW-EKF introduces a time-varying covariance adjustment mechanism that dynamically adapts to changes in feature availability and IMU noise, significantly enhancing robustness in complex indoor environments with low illumination, strong reflections, and sparse textures. Meanwhile, the adaptive feedforward controller adjusts control gains based on error energy, enabling improved attitude stability and smoother transitions under nonlinear disturbances. Experiments conducted in a 10 × 8 × 3 m indoor environment demonstrate centimeter-level navigation performance, achieving an average hovering error of 0.0341 m, a path deviation of 0.0346 m, and a closed-loop mapping error below 0.05 m. The results indicate that the AW-EKF and LiDAR-IMU tight-coupling framework ensures highly reliable localization, stable flight control, and strong environmental adaptability. This study provides a practical solution for autonomous UAV operations in intelligent warehousing, indoor inspection, and other GPS-denied scenarios.  © 2025 IEEE.",Li F.; Wang L.; Qing W.; Li Y.; Liu Y.; Niu Y.,2025,10.1109/IRAC67707.2025.11381094,"2025 International Conference on Intelligent Robotics and Automatic Control, IRAC 2025",Scopus
SCOPUS_0005,Robust UAV Localization in GNSS-Denied Environments via Efficient Visual Scene Matching-Inertial Fusion,"In environments where Global Navigation Satellite Systems (GNSS) are degraded or unavailable, unmanned aerial vehicle (UAV) visual-inertial localization faces challenges including cross-domain scale inconsistency, accumulated inertial drift, and limited onboard computing resources. To address these issues, we propose a lightweight visual-inertial localization framework for onboard platforms that combines low-rate absolute corrections from satellite-to-aerial visual scene matching with high-rate relative motion constraints from inertial measurement unit (IMU) pre-integration. The two are fused via a loosely coupled Error-State Kalman Filter (ESKF), achieving real-time, robust localization through low-rate absolute correction + high-rate dead reckoning. To reduce the cross-domain search space and mitigate scale mismatch, we introduce a barometer-assisted adaptive satellite-image loading and ground sampling distance (GSD) normalization pipeline that dynamically selects satellite tiles and aligns scale between satellite and onboard imagery. On the vision side, an accelerated XFeat model delivers high-quality feature extraction and matching; On the fusion side, the ESKF effectively suppresses inertial drift and improves resilience to visual outliers and anomalous conditions. The full system is deployed on a NVIDIA Orin Nano embedded platform and validated in real flight tests, demonstrating accurate and robust localization in complex real-world scenarios.  © 2025 IEEE.",Zhang Z.; Zhang B.; Lv M.; Liu S.; Xue J.; Wei H.,2025,10.1109/CAIT68620.2025.11424858,"2025 6th International Conference on Computers and Artificial Intelligence Technology, CAIT 2025",Scopus
SCOPUS_0006,Automated localization of UAVs in GPS-denied indoor construction environments using fiducial markers,"Unmanned Aerial Vehicles (UAVs) have opened a wide range of opportunities and applications in different sectors including construction. Such applications include: 3D mapping from 2D images and video footage, automated site inspection, and performance monitoring. All of the above-mentioned applications perform well outdoors where GPS is quite reliable for localization and navigation of UAV’s. Indoor localization and consequently indoor navigation have remained relatively untapped, because GPS is not sufficiently reliable and accurate in indoor environments. This paper presents a method for localization of aerial vehicles in GPS-denied indoor construction environments. The proposed method employs AprilTags that are linked to previously known coordinates in the 3D building information model (BIM). Using cameras on-board the UAV and extracting the transformation from the tag to the camera’s frame, the UAV can be localized on the site. It can then use the previously computed information for navigation between critical locations on construction sites. We use an experimental setup to verify and validate the proposed method by comparing with an indoor localization system as the ground truth. Results show that the proposed method is sufficiently accurate to perform indoor navigation. Moreover, the method does not intensify the complexity of the construction execution as the tags are simply printed and placed on available surfaces at the construction site. © ISARC 2018 - 35th International Symposium on Automation and Robotics in Construction and International AEC/FM Hackathon: The Future of Building Things. All rights reserved.",Nahangi M.; Heins A.; McCabe B.; Schoellig A.,2018,10.22260/isarc2018/0012,ISARC 2018 - 35th International Symposium on Automation and Robotics in Construction and International AEC/FM Hackathon: The Future of Building Things,Scopus
SCOPUS_0007,Experimentation of Monocular Visual-Aided Inertial Navigation on Fixed-Wing Unmanned Aerial Vehicle †,"This paper presents an experimental study utilizing the vision-aided inertial navigation system (VaINS) on a fixed-wing unmanned aerial vehicle (UAV). VaINS operates as a data-logging box, collecting sensor data, processing them, and transmitting the navigation solution to an operator terminal in real time. The flight data contain buildings, vegetation, a river, a lake, and mountains. The camera’s pitch angle was tested at both a grazing angle of 22° and a nadir angle of 90°. The aim of this experiment was twofold: to explore the application of VaINS on a fixed-wing UAV and to assess the performance of the image-aided navigation system. The image-aided inertial navigation system (INS) solution was compared with a reference solution during GNSS-denied time intervals. The camera’s pitch angle at 90° exhibited a slight advantage over the grazing angle at 22°. Moreover, in the linear flight segments, the image-aided navigation system demonstrated significantly better performance compared to the free inertial solution during the GNSS-denied periods. © 2023 by the authors.",Sivalingam B.; Hagen O.K.,2023,10.3390/ENC2023-15476,Engineering Proceedings,Scopus
SCOPUS_0008,A graphics-based digital twin (GBDT) framework for accurate UAV localization in GPS-denied environments,"Autonomous navigation of Unmanned Aerial Vehicles (UAVs) is crucial for effective assessment of large-scale civil infrastructure, as manual UAV control is time consuming and prone to mishaps. Autonomous navigation outdoors typically employs GPS signals to enable accurate localization and reduce long-term drifts. However, in many civil engineering applications, GPS signals are either poor or unavailable due to interference and/or multi-path effects. Current approaches for UAV localization in GPS-denied environments, track geometric features such as corners; however, these natural features can be misrepresented due to the presence of occlusions and/or image processing errors, resulting in significant localization errors that can grow with time. AprilTags can reduce localization errors, but installation on large-scale civil infrastructure can be challenging. Therefore, this paper proposes a framework that leverages the wealth of visual and geometric information encoded in a Graphics-Based Digital Twin (GBDT) of a target infrastructure to provide accurate localization of a UAV. The GBDT is comprised of a computer graphics model that faithfully represents a target structure’s geometry, structural features, and visual textures. The visual details of the GBDT are exploited to design an object recognition algorithm that detects GBDTtags, which are distinctive objects (or a collection of components) on the target structure in advance; GBDTtags provide functionality similar to AprilTags. When the camera attached to a UAV detects one or more GBDTtags, the vertices of the GBDTtags are mapped from the image plane into the GBDT coordinate system, allowing for the UAV to be localized. The framework, termed herein as GBDTpose, is first validated numerically using Blender, Gazebo, and Mavros software-in-the-loop (SITL). Subsequently, field validation is carried out using the Kavita and Lalit Bahl Smart Bridge at the University of Illinois Urbana-Champaign (UIUC). Results show that localization in GPS-denied environments can be achieved with 5-50 cm accuracy without the need for physical markers being placed on the structure. © The Author(s) 2024.",Matiki T.; Narazaki Y.; Chowdhary G.; Spencer B.F.,2024,10.1177/13694332241291256,Advances in Structural Engineering,Scopus
SCOPUS_0009,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,"Unmanned Aerial Vehicles (UAV) are increasingly used in a wide range of applications such as civil infrastructure inspection, agriculture, ecology and remote sensing. UAV autonomous operation relies on the use of GPS in order to localise and plan a mission, however there are places in which GPS positioning is limited or not available, such as in urban and natural canyons or below the canopy. This paper presents the development of a framework that enables a drone to navigate in an unknown, unstructured and GPS-denied environment. The aim of this research is to combine the use of localisation algorithms such as Simultaneous Localisation and Mapping (SLAM) with Partially Observable Markov Decision Processes (POMDP) algorithms into a framework in which the navigation and exploration tasks are modelled as sequential decision problems under uncertainty. The framework tested in simulation allows the UAV to navigate safely, avoiding collisions whilst guiding exploration in order to create an occupancy map of the UAV's surroundings. The proposed system guides the UAV through a series of actions in order to maximise the information gain about the unknown environment. The implementation of the proposed framework will enable the use of UAV for autonomous navigation and exploration in challenging environments where GPS positioning is not available or limited. © 2019 IEEE.",Vanegas F.; Gaston K.J.; Roberts J.; Gonzalez F.,2019,10.1109/AERO.2019.8741612,IEEE Aerospace Conference Proceedings,Scopus
SCOPUS_0010,A Novel Geolocalization Algorithm for UAV Under GNSS-denied Environment using Heading Estimation before Image Matching,"The glocalization problem under GNSS-denied environments plays a significant role in real-time location-based services. However, previous studies need multiple image matching operations for glocalization, causing overheard computational burden on UAVs with limited computing resources. This study proposed a novel glocalization algorithm for UAV under GNSS-denied environment. Specifically, we propose an adaptive search strategy to dynamically search for the UAV probable position, reducing the candidate position space and improving the matching accuracy and computational efficiency. In addition, we adopt an image vector approach to estimate the UAV heading to rotate the UAV image before matching, which reduces the error by more than 60%. A case study was demonstrated to evaluate the performance of the developed algorithm in real application. Results show that the developed algorithm can position with the error less 10 m. © 2025 IEEE.",Yang J.; He W.; Teng W.; Jiang P.; Du X.,2025,10.1109/ICGMRS66001.2025.11065657,"2025 6th International Conference on Geology, Mapping and Remote Sensing, ICGMRS 2025",Scopus
