id,done_flag,pdf_on_disk,in_master,status,title,doi
REC_0001,Y,Y,Y,OK_fully_integrated,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,10.1109/ICCIR70228.2026.11633308
REC_0003,Y,Y,Y,OK_fully_integrated,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,10.1109/ICTP67998.2026.11485150
REC_0006,Y,Y,Y,OK_fully_integrated,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,10.1109/APSCON68325.2026.11497125
REC_0013,Y,Y,Y,OK_fully_integrated,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,10.1109/ICoECIT68303.2026.11497954
REC_0037,Y,Y,Y,OK_fully_integrated,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,10.1109/SIU71813.2026.11636724
REC_0077,Y,Y,Y,OK_fully_integrated,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,10.1109/ICUAS69441.2026.11598675
REC_0102,Y,Y,Y,OK_fully_integrated,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,10.1109/FET68771.2026.11601505
REC_0131,Y,Y,Y,OK_fully_integrated,Digital Twin for Drone Indoor Autonomous Navigation,10.1109/LSENS.2025.3642424
REC_0149,Y,Y,Y,OK_fully_integrated,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,10.1109/IPCS69631.2026.11604264
REC_0165,Y,Y,Y,OK_fully_integrated,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,10.1109/ICCE-Taiwan71481.2026.11652687
REC_0195,Y,Y,Y,OK_fully_integrated,An Autonomous Continuous Positioning Method for Low-Altitude UAVs Based on Image Recognition in GNSS-Denied Environments,10.1109/RAITS68656.2026.11580149
REC_0211,Y,Y,Y,OK_fully_integrated,SIA-KalmanNet: A Structurally Integrated Attention Kalman Filter for Multi-UAV Localization in Partially GNSS-Denied Environments,10.1109/JIOT.2025.3650118
REC_0218,Y,Y,Y,OK_fully_integrated,A Unified Error-State Kalman Filtering Framework for Multi-Sensor Navigation of Fixed-Wing UAVS in GNSS-Denied Scenarios,10.1109/ICUAS69441.2026.11598562
REC_0278,Y,Y,Y,OK_fully_integrated,Navigation Methods for UAVs in GNSS-Denied Environments Using Artificial Intelligence,10.1109/ICCE70609.2026.11658445
REC_0289,Y,Y,Y,OK_fully_integrated,Development of a Simulated UAV Platform for Sensor-Fusion-Based SLAM,10.1109/ICAIIC68212.2026.11454340
REC_0388,Y,Y,Y,OK_fully_integrated,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,10.1109/JSEN.2025.3646302
REC_0409,Y,Y,Y,OK_fully_integrated,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,10.1109/ICUAS69441.2026.11598747
REC_0481,Y,Y,Y,OK_fully_integrated,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,10.1109/ICUAS69441.2026.11598599
REC_0502,Y,Y,Y,OK_fully_integrated,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,10.1109/JIOT.2025.3638876
REC_0537,Y,Y,Y,OK_fully_integrated,Indoor Navigation and Attitude Estimation for Uas Using Inertial Sensors and Extended Kalman Filtering,10.1109/MetroAeroSpace69299.2026.11646697
REC_0644,Y,Y,Y,OK_fully_integrated,Autonomous Localization and Navigation for Drones Over Rivers,10.1109/ACCESS.2025.3650454
REC_0652,Y,Y,Y,OK_fully_integrated,Reinforcement Learning-Based Autonomous UAV Navigation in Indoor Environments Towards Human Detection,10.1109/ICIPRoB69625.2026.11497788
