paper_id,title,first_author,year,venue,doi,q1_clear_problem,q2_sensor_config,q3_quant_results,q4_baseline_comparison,q5_hardware_validation,q6_statistical_rigor,q7_doi_reproducibility,q8_reporting_depth,total_score,quality_tier
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,H. Pan,2026,,10.1109/ICCIR70228.2026.11633308,1,0,1,0,0,0,1,1,4,Medium
REC_0002,Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV,E. M. Lee,2019,,10.23919/ICCAS47443.2019.8971738,1,1,0,0,1,0,1,1,5,Medium
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,L. B. Jayswal,2026,,10.1109/ICTP67998.2026.11485150,1,1,1,0,1,1,1,1,7,High
REC_0004,UAV Navigation and Mission Execution in GPS-Denied Environment,J. -T. Zou,2025,,10.1109/ICCE-Taiwan66881.2025.11207940,1,1,1,0,0,0,1,1,5,Medium
REC_0005,UAV Swarm Navigation in GNSS Denied Region with Formation Control,P. Jain,2023,,10.1109/INCET57972.2023.10170669,1,1,0,0,0,0,1,1,4,Medium
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,V. V. Sai Viswa Kiran,2026,,10.1109/APSCON68325.2026.11497125,1,1,0,0,1,0,1,1,5,Medium
REC_0007,BRISK-Driven Visual SLAM Loop Closure for ROS2-Based Autonomous Navigation,T. N. V. S. C. Murthy,2026,,10.1109/ICMCSI67283.2026.11412519,1,1,1,0,1,0,1,1,6,High
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,F. Vanegas,2019,,10.1109/AERO.2019.8741612,1,1,0,0,0,0,1,1,4,Medium
REC_0009,Body-Centered Dynamically-Tuned Error-State Extended Kalman Filter for Visual Inertial Odometry in GNSS-Denied Environments,S. I. K. Abdelaziz,2024,,10.1109/ACCESS.2024.3357458,1,1,1,0,0,0,1,1,5,Medium
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,A. R. Kuroswiski,2018,,10.1109/SYSCON.2018.8369592,1,1,1,0,0,0,1,1,5,Medium
REC_0011,Visual Odometry/Inertial Integration for Enhanced Land Vehicle Navigation in GNSS Denied Environment,A. Salib,2020,,10.1109/VTC2020-Fall49728.2020.9348698,1,1,1,1,1,1,1,1,8,High
REC_0012,Nonlinear Model Predictive Control for Self-Driving cars Trajectory Tracking in GNSS-denied environments,A. Barzegar,2020,,10.23919/ICCAS50221.2020.9268233,1,1,1,0,0,0,1,1,5,Medium
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,S. K. Thota,2026,,10.1109/ICoECIT68303.2026.11497954,1,1,1,0,0,0,1,1,5,Medium
REC_0014,EKF-Based Multi-Sensor Fusion for GPS-Denied Localization of an Autonomous Ground Vehicle,R. Elzard,2026,,10.1109/ICCC71363.2026.11593316,1,1,1,1,1,0,1,1,7,High
