method,Depth_Camera,Event_Camera,IMU,LiDAR_2D,LiDAR_3D,Monocular_Camera,Radar_mmWave,Sonar,Stereo_Camera,Thermal_Camera,UWB,WiFi
Deep_Learning_Odometry,1,0,20,0,4,17,0,0,0,0,0,0
Filter_Based_VIO,5,1,134,1,9,119,6,3,14,0,7,1
Hybrid_Classical_Learning,7,0,174,1,28,111,7,15,3,1,0,5
LiDAR_SLAM,8,0,114,16,130,41,8,1,7,2,6,3
Map_Based_Localization,0,0,1,0,0,0,0,0,0,0,0,0
Multi_Agent_Collaborative_SLAM,0,0,25,0,1,10,0,1,0,0,0,0
Optimization_Based_VIO,1,0,47,0,3,43,0,1,2,2,11,1
Radio_Based_Positioning,22,0,717,23,109,460,37,37,29,12,103,19
Visual_LiDAR_Inertial_Fusion,2,0,45,4,41,39,1,1,4,2,4,0
Visual_SLAM,5,0,55,0,3,60,2,0,9,1,3,1
