environment,count,percentage
Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,37,21.6%
Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,27,15.8%
Indoor;Urban;Underground/Tunnel;Adversarial/EW,26,15.2%
Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,17,9.9%
Indoor;Urban;Forest/Canopy;Adversarial/EW,11,6.4%
Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,7,4.1%
Indoor;Urban;Adversarial/EW,6,3.5%
Urban;Underground/Tunnel;Adversarial/EW,6,3.5%
Indoor;Underground/Tunnel;Adversarial/EW,5,2.9%
Urban;Adversarial/EW,4,2.3%
Indoor;Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,3,1.8%
Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,3,1.8%
Indoor;Urban;Adversarial/EW;Maritime/Water,3,1.8%
Urban;Forest/Canopy;Adversarial/EW,2,1.2%
Underground/Tunnel;Adversarial/EW,2,1.2%
Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,2,1.2%
Indoor;Adversarial/EW,1,0.6%
Indoor;Urban;Underground/Tunnel;Forest/Canopy;Maritime/Water,1,0.6%
Underground/Tunnel;Adversarial/EW;Maritime/Water,1,0.6%
Mixed/Unstructured,1,0.6%
Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW,1,0.6%
Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,1,0.6%
Indoor;Forest/Canopy;Adversarial/EW,1,0.6%
Adversarial/EW,1,0.6%
Indoor;Urban;Underground/Tunnel,1,0.6%
Indoor;Adversarial/EW;Maritime/Water,1,0.6%
