id,title,abstract,authors,year,doi,venue,source,ai_decision,ai_confidence,criteria_triggered,justification
REC_0002,Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV,"Recently, application of Unmanned Aerial Vehicle (UAV) attract much attention of not only academic but also industrial community. To control and make the most of UAV, state estimation is mandatory and it should work accurately on Real-time on computational-limited onboard PC. Especially, for the cases that GNSS-disabled environments or indoor situation, Visual Inertial Odometry using camera and IMU sensor has been actively studied. Generally, to research and develop the indoor navigation algorithm, high-performanced and super-expensive facilities like motion capture cameras are needed to measure the ground-truth. In this paper, we apply state-of-art Visual Inertial Odometry algorithms for state estimation of UAVs to FlightGoggles simulator which is photorealistic and which reflects UAV's real dynamics. Moreover, we compare the performance and resource utilization of those algorithms.",E. M. Lee; I. Wee; T. Kim; D. H. Shim,2019,10.23919/ICCAS47443.2019.8971738,,IEEE_Xplore,exclude,high,"[""E2""]",GNSS-denied navigation is not a primary claimed contribution; paper does not focus on GPS-denied operation.
REC_0005,UAV Swarm Navigation in GNSS Denied Region with Formation Control,"UAVs are becoming extremely essential these days for many applications such as HADR missions. During these missions, there can be a loss of GPS signal due to challenging environments and terrains, and this can hinder the missions so there is a need for a system that provides UAVs the capability to do these missions even in GPS-denied environments. In most of such missions, swarms of UAVs are working. Hence, the aim of this research paper is to propose a reliable GPS-denied navigation system for swarms. The major challenge with the swarm navigation is to achieve inter-UAV collision avoidance. So, this paper mainly focuses on prevention of inter UAV collision. Therefore, to accomplish this objective, the integration of estimations by Visual Odometry and UWB module is proposed in this paper.",P. Jain; R. Qureshi; R. Nallanthighal,2023,10.1109/INCET57972.2023.10170669,,IEEE_Xplore,borderline_exclude,medium,"[""E1""]",Paper discusses GPS-denied UAV navigation but abstract lacks explicit quantitative localization/navigation metrics.
REC_0007,BRISK-Driven Visual SLAM Loop Closure for ROS2-Based Autonomous Navigation,"This paper presents the design and implementation of a visual SLAM (Simultaneous Localization and Mapping) loop closure system for autonomous navigation using BRISK (Binary Robust Invariant Scalable Keypoints) feature descriptors on a TortoiseBot platform. The proposed system integrates visual odometry and IMU data to construct a pose graph, where loop closure constraints are established through keyframe matching based on BRISK features. The entire pipeline is developed using MATLAB and deployed on a ROS2-enabled mobile robot equipped with a monocular camera and 9-axis IMU. Loop closures are detected by comparing current frames with historical keyframes, enabling pose graph optimization that corrects accumulated drift and improves localization accuracy. Experimental validation in both simulated and real indoor environments show improved path alignment and robustness. The method is computationally efficient, making it suitable for low-cost robots in indoor navigation tasks. The approach also lays the groundwork for future enhancements involving dynamic obstacle handling and collaborative SLAM.",T. N. V. S. C. Murthy; S. Kochuvila,2026,10.1109/ICMCSI67283.2026.11412519,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
REC_0009,Body-Centered Dynamically-Tuned Error-State Extended Kalman Filter for Visual Inertial Odometry in GNSS-Denied Environments,"The use of visual odometry in autonomous land vehicle and unmanned ground vehicle (UGV) applications has shown to be promising in providing robust and accurate positioning and navigation in GNSS-denied environments. While GNSS is the most accurate and reliable positioning source, it cannot be received indoors. Furthermore, low-cost micro-electro-mechanical system (MEMS)-based inertial sensors are used for positioning but can result in rapid drift during prolonged GNSS outages. To address these limitations, this paper proposes an innovative method of integrating MEMS-based inertial sensors with a vision-based navigation system. The vision-based navigation relies on a visual odometry pipeline modified to replace the feature-matching step with Lucas-Kanade optical flow. While the inertial-based system is derived from the three-dimensional reduced inertial sensor system (3D-RISS) and modified for a body-centered update. The fusion of both systems is based on an Extended Kalman filter (EKF) to estimate the position and heading information and correct for inertial sensor errors. To assess the effectiveness of the proposed method, real indoor and road test trajectories were conducted using both a Husky A200 UGV and a sensor-equipped minivan. The results show that the body-centered inertial system, aided with reliable vision updates, provides a reliable positioning solution for an extended duration in GNSS-denied environments.",S. I. K. Abdelaziz; H. Y. Elghamrawy; A. M. Noureldin; G. Fotopoulos,2024,10.1109/ACCESS.2024.3357458,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
REC_0011,Visual Odometry/Inertial Integration for Enhanced Land Vehicle Navigation in GNSS Denied Environment,"Self-driving vehicles have attained a huge research interest as it offers new opportunities for more secure and convenient transportation. Vision is considered one of the significant inputs to self-driving systems in terms of obstacle avoidance and navigation purposes. Recently, Consumer Portable Devices (CPDs) such as smartphones and tablets are continuously equipped with enhanced sensors and cameras that can be used in the navigation or obstacle avoidance applications. This paper presents an approach for enhancing the land vehicle navigation in GNSS denied environment by integrating the Visual Odometry (VO), On-Board Diagnostics information, and inertial sensors. The visual odometry is collected through a CPD camera (smartphone) which is mounted on the vehicle dashboard where the vehicle change of heading is estimated. On the other hand, the vehicle forward velocity information is acquired through On-Board Diagnostics II (OBD-II). In this paper, the proposed approach is a Global Navigation Satellite System/Inertial Navigation System (GNSS/INS) loosely coupled integration scheme where the VO heading change and the forward OBD-II velocity are used to aid the low-cost INS during GNSS signal outage to limit its drift through Extended Kalman Filter (EKF). The employed visual odometry estimates the orientation change between successive frames which requires a feature extraction step to extract the features in every frame followed by primary matching to match the features and estimate the rotation between frames. Experimental road test is implemented, and the results show significant position accuracy enhancement using the proposed approach compared with typical Dead Reckoning (DR) solution where the average position Root Mean Square Error (RMSE) of the DR is around 14 meters for 60 s GNSS signal outage while the average position RMSE for the proposed navigation approach is 4.40 meters during the same GNSS signal outage.",A. Salib; M. Moussa; A. Moussa; N. El-Sheimy,2020,10.1109/VTC2020-Fall49728.2020.9348698,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
REC_0012,Nonlinear Model Predictive Control for Self-Driving cars Trajectory Tracking in GNSS-denied environments,"In this paper, a trajectory tracking control problem for a self-driving vehicle is addressed using a nonlinear model predictive controller (NMPC). The solution relies on a direct multiple shooting method for discretizing the simplified differentially flat bicycle model which was used as a prediction plant to reduce the computational cost of NMPC. The solution makes use of the long prediction horizon of the NMPC, which allows safe trajectory tracking and achieving a user-specified goal location by controlling the longitudinal velocity and the steering angle. GNSS-denied navigation algorithm of the vehicle employs Visual Inertial Odometry (VIO) to obtain the position and orientation of car without using GNSS data. Simulation experiments is conducted to show the effectiveness of the system in tracking desired trajectories in high precision with speeds up to 1 m/s.",A. Barzegar; O. Doukhi; D. -J. Lee; Y. -h. Jo,2020,10.23919/ICCAS50221.2020.9268233,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
REC_0014,EKF-Based Multi-Sensor Fusion for GPS-Denied Localization of an Autonomous Ground Vehicle,"This paper presents an EKF-based multi-sensor fusion framework for GPS-denied localization of an autonomous ground vehicle. The proposed system integrates measurements from an inertial measurement unit, wheel encoders, and LiDAR to estimate the vehicle pose in terms of position and heading. Wheel encoder and IMU data are used for continuous motion prediction, while LiDAR-based localization provides environmental observations to correct accumulated drift. The framework is implemented on a compact Ackermann-steering robotic platform using a modular navigation architecture that integrates mapping, localization, obstacle avoidance, and motion control. Experimental validation in GPS-denied indoor environments demonstrates that the proposed fusion approach improves pose estimation consistency compared with dead-reckoning-based localization and reduces drift during trajectory tracking. The results confirm the suitability of the proposed framework for autonomous navigation applications where GPS signals are unavailable or unreliable, such as indoor inspection, search and rescue, and autonomous logistics.",R. Elzard; O. Alqaisi; L. Alhorani; R. Benotsmane; H. Yetkin,2026,10.1109/ICCC71363.2026.11593316,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
REC_0015,A Comparative Analysis of LiDAR SLAM-Based Indoor Navigation for Autonomous Vehicles,"Simultaneous localization and mapping (SLAM) is a fundamental technique block in the indoor-navigation system for most autonomous vehicles and robots. SLAM aims at building a global consistent map of the environment while simultaneously determining the position and orientation of the robot in this map. Significant advances have been made in visual SLAM techniques in the past several years. However, due to the fragile performance in tracking feature points in environments that lack texture, e.g., a warehouse with blank white walls, visual SLAM can hardly provide a reliable localization. Compared with visual SLAM, LiDAR SLAM can often provide more robust localization in indoor environments by using 3D spatial information directly captured by LiDAR point clouds. Thus, LiDAR SLAM techniques are often employed in industrial applications such as automated guided vehicles (AGVs). In the past decades, a number of LiDAR SLAM methods have been proposed. However, the strength and weakness points of various LiDAR SLAMs are not clear, which may perplex the researchers and engineers. In this article, analysis and comparisons are made on different LiDAR SLAM-based indoor navigation methods, and extensive experiments are conducted to evaluate their performances in real environments. The comparative analysis and results can help researchers in academia and industry in constructing a suitable LiDAR SLAM system for indoor navigation for their own usage scenarios.",Q. Zou; Q. Sun; L. Chen; B. Nie; Q. Li,2022,10.1109/TITS.2021.3063477,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
REC_0016,Artificial Landmark-based Indoor Navigation System for an Autonomous Unmanned Aerial Vehicle,"An artificial landmark-based indoor navigation system was developed to provide reliable and high accuracy indoor navigation service to an autonomous Unmanned Aerial Vehicle (UAV) with a low computational cost. In this approach, the position of the UAV with respect to the indoor environment was determined by the position information extracted from the artificial landmarks. The artificial landmarks were constructed based on QR codes which stored a unique text string that refer to an absolute coordinate of the indoor environment. Machine learning approaches were applied to provide the system with the ability to detect the landmark through the vision streamed by the aircraft. The system has been experimentally evaluated for proof of concept under practical conditions. The experiment results have proved that using QR code-based artificial landmark as a low computational cost solution is possible to achieve reliable and high accuracy indoor navigation service for an autonomous UAV.",L. C. Chie; Y. W. Juin,2020,10.1109/ICIEA49774.2020.9102082,,IEEE_Xplore,exclude,high,"[""E2""]",GNSS-denied navigation is not a primary claimed contribution; paper does not focus on GPS-denied operation.
REC_0018,An Integrated System Using Federated Kalman Filter for UGV Navigation in GNSS-denied Environment,"In global navigation satellite system (GNSS) denied areas such as urban canyons, accurate positioning for unmanned ground vehicles (UGV) is a challenging issue. This paper presents a novel method of an integrated navigation system which combines the strapdown inertial navigation system (SINS), GNSS, and the vehicle kinematics model. The integrated navigation system is built using a federated Kalman filter (FKF). For coping with abnormal GNSS signals, we make an adaptive modification of the classical Kalman filter using the proposed adaptive factor. In addition, the vehicle model is combined with four-channel wheel speed information and vehicle steering information to make up for the deficiency of information in traditional kinematics constraints. In order to maintain the high accuracy of the system, we propose a method for adaptively determining information sharing coefficients, which can assign weights to both local filters according to their own confidences. The experiments conducted in urban areas show that the new integrated navigation strategy can guarantee meter-level positioning accuracy within 130 seconds in GNSS-denied environments.",M. Wang; C. Zhai; Y. Yang; K. Shen,2019,10.23919/ChiCC.2019.8865416,,IEEE_Xplore,exclude,high,"[""E5""]",Platform is not a UAV/drone and no explicit transferability to UAVs is demonstrated.
