rank,id,title,approach_family,year,qa_total,best_ate_rmse,priority_weight
1,REC_1163,A comparative study of TERCOM-EKF and ViSensorRF for UAV localization in GNSS-denied environments,Visual-LiDAR Fusion,2026,10,0.356,14.0
2,REC_0502,LD3DGS-SLAM: Long-Distance Monocular SLAM With 3-D Gaussian Splatting and GNSS-Aided Localization for UAVs,Visual-LiDAR Fusion,2026,9,1.6641,13.0
3,REC_0951,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,Visual-LiDAR Fusion,2026,10,NOT_REPORTED,13.0
4,REC_1014,Cooperative UAV Swarm Communication Networks for Rapid Disaster Assessment in GPS-Denied Environments,Visual-LiDAR Fusion,2026,9,0.85,13.0
5,REC_1044,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,Visual-Inertial (VIO/SLAM),2026,10,NOT_REPORTED,13.0
6,REC_1123,A Novel Scene-Matching Positioning Approach for Low-Altitude UAVs Considering Elevation Differences in Satellite Images,Visual-Inertial (VIO/SLAM),2026,10,NOT_REPORTED,13.0
7,REC_1405,Angle Robustness Unmanned Aerial Vehicle Navigation in GNSS-Denied Scenarios,LiDAR-Inertial / LiDAR SLAM,2024,9,30.3,13.0
8,REC_0041,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,Visual-Inertial (VIO/SLAM),2023,9,NOT_REPORTED,12.0
9,REC_0409,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,Visual-LiDAR Fusion,2026,9,NOT_REPORTED,12.0
10,REC_0656,Vision-Based UAV Localization by Aerial and Satellite Image Matching,Visual-LiDAR Fusion,2026,9,NOT_REPORTED,12.0
11,REC_1069,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,Visual-LiDAR Fusion,2026,9,NOT_REPORTED,12.0
12,REC_1084,CLAK:CNN-LSTM-Attention and Kolmogorov-Arnold Networks for non-visual UAV localization in GNSS-denied environments,Visual-LiDAR Fusion,2026,10,NOT_REPORTED,12.0
13,REC_1106,Adaptive Particle Filter-Neural Network Fusion for Cooperative Localization of Multi-UAV Systems in GNSS-Denied Indoor Environments,Visual-Inertial (VIO/SLAM),2026,10,NOT_REPORTED,12.0
14,REC_1114,I-NAV: Inverse Navigation for questionnaire-based geolocation in GPS-denied environments,Visual-LiDAR Fusion,2026,10,NOT_REPORTED,12.0
15,REC_1115,SWA-PF: Semantic-weighted adaptive particle filter for memory-efficient 4-DoF UAV localization in GNSS-denied environments,Visual-Inertial (VIO/SLAM),2026,10,NOT_REPORTED,12.0
16,REC_1150,NaviLoc: Trajectory-Level Visual Localization for GNSS-Denied UAV Navigation,Visual-LiDAR Fusion,2026,10,NOT_REPORTED,12.0
17,REC_1253,Real-Time Autonomous UAV Navigation with SLAM-Based Mapping and Direction-Oriented Exploration in Forest-like GNSS-Denied Scenarios,Visual-LiDAR Fusion,2026,10,NOT_REPORTED,12.0
18,REC_1277,A Physics-Guided Aeromagnetic Interference Compensation Method for Geomagnetic Sensing in GNSS-Denied UAV Swarm Systems,Visual-Inertial (VIO/SLAM),2026,9,NOT_REPORTED,12.0
19,REC_1474,Robust UAV-Satellite Imagery Alignment via Cross-Domain Descriptor Learning and Homography Optimization,Visual-Inertial (VIO/SLAM),2026,9,NOT_REPORTED,12.0
20,REC_0993,"Fast, autonomous flight in GPS-denied and cluttered environments",Visual-LiDAR Fusion,2018,9,NOT_REPORTED,11.5
