"File","Size","SHA256"
"REC_0001_work.md","2368","13C5A775DFCD6CB2D2AD936EEBCCC5153D95375BE8BC667A6D044BB4783A7F42"
"REC_0003_work.md","2956","92DC6ED8429EAFAF443DA27A5659496BF6D7D1DEEEB3395D6ADE7517E363D4C4"
"REC_0006_work.md","3859","5414C0B56D6300142BB9B5A753608AF2F8D2B21A7971FE9041074815606A2085"
"REC_0008_work.md","1202","C446F2F866E569F3783837A3101AE4316792C46409488C9C482D5226FFE4F6C1"
"REC_0010_work.md","1361","730E559F4EC45A36AA7006D70E7161E8F783635C6E260FB09A68410A56953F63"
"REC_0013_work.md","2112","5A4EEF7BFC65E205D6F34A4FF7659A9490CC4A2767DFCB16221511454FECB8C3"
"REC_0017_work.md","2226","6173D16733DABB5C9BE5B21B4260AA66745467AB620B07E3286F89D6B6B47F54"
"REC_0022_work.md","2230","FF04D002737E6477E54D001BB89BAB6EFBE1DD06870F4667921056C32F4A9964"
"REC_0025_work.md","2169","D78928A4ED48C80AE2CF788C3DAD90477FC55CF30511F34766CD4E0820D92CC5"
"REC_0028_work.md","3909","A365ADA1F18D393579C658568C95D9AC70E08412C715CB77F153002BD6A76D61"
"REC_0037_work.md","2148","1312DB6A5E2B16B4153E1D6845DFD9AF5EF55FF1DBF4BE7D74C2FE9B85AE002D"
"REC_0041_work.md","3302","8B60A0162F0B0358CBA8D11403478DCCA5C2BAB3679D3572F8E03C9549C4F485"
"REC_0043_work.md","2689","3869ABB6DA17EE326A4F09A5C843005D28A40BF719E01852B2E4CCB7A9B2CD05"
"REC_0057_work.md","2817","A51D8728C312298D899CC6D1255F9D3F9BF12E5A642248C1A48430A9DF79DB22"
"REC_0064_work.md","4581","BFB3BE196429B2F33AB0334EA23969F33A9DCD2D33DF50C87A82A60901F197D7"
"REC_0065_work.md","3494","12CA99A147D3695A0A2576201F9DCBDCD60D6E8739F26CBFEC992812C9D24C82"
"REC_0066_work.md","3804","E1AF933F84A490462D08F4549D10DAA5A1C6423D31542ABD93E7170A25593002"
"REC_0071_work.md","1745","FDA361BDA5647EC8D39E8F78E51E771CFE45BB6B88F225C61E10E618FCFE4C0C"
"REC_0077_work.md","1606","2B2F9CDB04618C9FF5929728CD850E2F9605686367AC5F3B4F8098D8C4BAE3EA"
"REC_0080_work.md","2261","77B08840E50865ABB4C37D58352B541AE5AD3D99B1F76E00DD4AD55A32731C0A"
"REC_0084_work.md","2697","B0CFC466546F378AD4DC867A5559DCCA0759D58F8B9391DE1CEB3FEBC35B1AA5"
"REC_0095_work.md","2496","E969F3AFC3F30D4C6024173A151C8A76F7F2680F2038089A96CDE1DD07AE3E03"
"REC_0096_work.md","3810","BDAF1BCAFB4F887BBAF0848E90A98EB804BD425D813CD76F4AE63EC29A2A2726"
"REC_0102_work.md","3659","2F9B7343FD5EE751ECF94EBE9884A01D84BE7510883D4792A6D1D545902DACC8"
"REC_0107_work.md","3498","6213BC64190480152D81E1F234636E0A1FD82A38618714FEE4674D09D59B3E47"
"REC_0111_work.md","2231","80891783E73C1B2D0A4FEB4A5E381EE634712D856E02608CF40875863FF7CAEF"
"REC_0115_work.md","7705","C534614A4D6CA139C11D03D492023B9E426E1D814B4622D4FF159A23678CF088"
"REC_0118_work.md","2933","F1889329BE626DD0A8ACFFF75246FF54916326B722A712359035C32355B052E6"
"REC_0123_work.md","2994","7EB1CF74BD5A4912BC0A1A2075539090A8878CA11C1EDFFF63AEF5EDAE260969"
"REC_0131_work.md","3208","0DA1BB082FC4B51A18EF04DED14A3CFB037663BDBA7B7A8286691A01B22E3EE2"
"REC_0138_work.md","2582","F9015DA5D7E207B58D7AB3DB68CB6104E8A5529B162BF442754BB8AEE799835E"
"REC_0149_work.md","3164","E205BC5DC07191579DBAB609694E2B32013E7A11D972FD09F807BA1C70294B02"
"REC_0155_work.md","3336","0B98CB490938C466F1706318D309B2D243AF16307CCB720516E6E86D3AD3AB39"
"REC_0161_work.md","3009","06B5368CFBE41F38D8F5858D373DE99C66234830357893185946D2DEFE13FC4E"
"REC_0165_work.md","3552","9D4BB72DD153145B7783F10608B571E5B119A1AB18A7B665FDFA6AF052B610D1"
"REC_0179_work.md","2171","172D12F32F28F064A3B7A77B2B4740406B78DBCC095C6478A257380C5681746B"
"REC_0195_work.md","2997","99AC1657DC68108410594D7F4C0D0E52EAB0FD3F0C91FAF2C365D957F9A147F6"
"REC_0196_work.md","1215","13C196A3375D3E43A7C82AFEF38D9349FCE31092F989A6B6EDCB8478721EE4A7"
"REC_0202_work.md","1718","9D171652B4763E0A9F7C619FCD7EAD0B2A244398913C0536151995ADBBDDEE97"
"REC_0208_work.md","2473","5EC5D2C2F1A9AC963A101DE50928BAD7E599A63236F303A17BF7FA754BA2EE61"
"REC_0211_work.md","3829","B16F3348519FB31179FE87A9B1F6E72CCE3F86A0A1A5866E1213BB82DE6754E3"
