priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes,remarks,pdf_filename,pdf_present,in_extracted_master,extraction_pending
41,REC_1035,REC_1035.pdf,An improved selective correction adaptive particle filter-based cooperative navigation algorithm for UAV swarms in GNSS-denied areas,2026,Scopus,10.1088/1361-6501/ae65bc,recent,https://www.scopus.com/pages/publications/105040256436?origin=resultslist,https://doi.org/10.1088/1361-6501/ae65bc,https://scholar.google.com/scholar?q=An+improved+selective+correction+adaptive+particle+filter-based+cooperative+navigation+algorithm+for+UAV+swarms+in+GNSS-denied+areas,N,,N - Pending download from Scopus (DOI: 10.1088/1361-6501/ae65bc),NONE,N,N,N
45,REC_1051,REC_1051.pdf,Autonomous vision-based UAV localization and optimization-based path planning in GPS-denied environments: a review,2026,Scopus,10.1088/2631-8695/ae305b,recent,https://www.scopus.com/pages/publications/105027177299?origin=resultslist,https://doi.org/10.1088/2631-8695/ae305b,https://scholar.google.com/scholar?q=Autonomous+vision-based+UAV+localization+and+optimization-based+path+planning+in+GPS-denied+environments%3A+a+review,N,,N - Pending download from Scopus (DOI: 10.1088/2631-8695/ae305b),NONE,N,N,N
50,REC_1092,REC_1092.pdf,Efficient SLAM Algorithm Based on Quaternions for Real-Time Navigation of Unmanned Aerial Vehicles,2026,Scopus,10.1002/ett.70386,recent,https://www.scopus.com/pages/publications/105031481355?origin=resultslist,https://doi.org/10.1002/ett.70386,https://scholar.google.com/scholar?q=Efficient+SLAM+Algorithm+Based+on+Quaternions+for+Real-Time+Navigation+of+Unmanned+Aerial+Vehicles,N,,N - Pending download from Scopus (DOI: 10.1002/ett.70386),NONE,N,N,N
52,REC_1099,REC_1099.pdf,Machine Learning-Based UAV Localization for Under-Structure Sensor Deployment in GPS-Denied Environments,2026,Scopus,10.1117/12.3089966,recent,https://www.scopus.com/pages/publications/105040245069?origin=resultslist,https://doi.org/10.1117/12.3089966,https://scholar.google.com/scholar?q=Machine+Learning-Based+UAV+Localization+for+Under-Structure+Sensor+Deployment+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.1117/12.3089966),NONE,N,N,N
60,REC_1124,REC_1124.pdf,Real-Time Elevation and Orientation-Aware Visual Localization for GNSS-Denied Drone Navigation,2026,Scopus,10.3390/drones10060445,recent,https://www.scopus.com/pages/publications/105042771790?origin=resultslist,https://doi.org/10.3390/drones10060445,https://scholar.google.com/scholar?q=Real-Time+Elevation+and+Orientation-Aware+Visual+Localization+for+GNSS-Denied+Drone+Navigation,N,,N - Pending download from Scopus (DOI: 10.3390/drones10060445),NONE,N,N,N
61,REC_1131,REC_1131.pdf,Enhancing UAV Autonomy and Path Optimization Through SBAS and Visual-Inertial Odometry; [Mejora de la autonomía de UAV y optimización de trayectorias mediante odometría visual–inercial integrada con SBAS],2026,Scopus,10.15446/ing.investig.119122,recent,https://www.scopus.com/pages/publications/105033716526?origin=resultslist,https://doi.org/10.15446/ing.investig.119122,https://scholar.google.com/scholar?q=Enhancing+UAV+Autonomy+and+Path+Optimization+Through+SBAS+and+Visual-Inertial+Odometry%3B+%5BMejora+de+la+autonom%C3%ADa+de+UAV+y+optimizaci%C3%B3n+de+trayectorias+mediante+odometr%C3%ADa+visual%E2%80%93inercial+integrada+con+SBAS%5D,N,,N - Pending download from Scopus (DOI: 10.15446/ing.investig.119122),NONE,N,N,N
62,REC_1134,REC_1134.pdf,A Decision-Making Framework for Autonomous Aerial Vehicles in Responding to GPS Loss,2026,Scopus,10.2514/6.2026-1992,recent,https://www.scopus.com/pages/publications/105031135869?origin=resultslist,https://doi.org/10.2514/6.2026-1992,https://scholar.google.com/scholar?q=A+Decision-Making+Framework+for+Autonomous+Aerial+Vehicles+in+Responding+to+GPS+Loss,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-1992),NONE,N,N,N
64,REC_1143,REC_1143.pdf,Multi-Robot Cooperative 3D Frontier Exploration Using Stereo Camera Based Mapping in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-0859,recent,https://www.scopus.com/pages/publications/105031187258?origin=resultslist,https://doi.org/10.2514/6.2026-0859,https://scholar.google.com/scholar?q=Multi-Robot+Cooperative+3D+Frontier+Exploration+Using+Stereo+Camera+Based+Mapping+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-0859),NONE,N,N,N
65,REC_1149,REC_1149.pdf,Simultaneous Localization and Mapping using Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-0855,recent,https://www.scopus.com/pages/publications/105031153399?origin=resultslist,https://doi.org/10.2514/6.2026-0855,https://scholar.google.com/scholar?q=Simultaneous+Localization+and+Mapping+using+Sensor+Fusion+for+UAV+Navigation+in+GPS-Denied+Environments,N,,N - Pending download from Scopus (DOI: 10.2514/6.2026-0855),NONE,N,N,N
68,REC_1164,REC_1164.pdf,Lightweight and accurate infrared rangefinder-fused LiDAR-inertial localization for UAV-based bridge inspection in GPS-denied environments,2026,Scopus,10.1016/j.measurement.2025.118983,recent,https://www.scopus.com/pages/publications/105016309253?origin=resultslist,https://doi.org/10.1016/j.measurement.2025.118983,https://scholar.google.com/scholar?q=Lightweight+and+accurate+infrared+rangefinder-fused+LiDAR-inertial+localization+for+UAV-based+bridge+inspection+in+GPS-denied+environments,N,,N - Pending download from Scopus (DOI: 10.1016/j.measurement.2025.118983),NONE,N,N,N
