id,title,authors,year,venue,doi,source,platform,environment,sensors,algorithm_family,estimation_architecture,primary_metric,metric_value,metric_unit,dataset_used,experiment_type,key_contribution,application_domain,fulltext_available,citation_tier,notes,citation_count_approx,is_benchmark_paper,qa_rigor,qa_reporting,qa_baseline,qa_repro,qa_total,qa_tier,qa_notes
REC_0001,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,H. Pan; H. Ye; W. Zheng; L. Zhou,2026,,10.1109/ICCIR70228.2026.11633308,IEEE_Xplore,UAV,indoor,camera|GPS_denied_confirmed,other,other,RMSE,95.95,%,custom,simulation,This paper proposes a BIM-assisted UAV topological localization and navigation framework for GPS-denied indoor environments,navigation,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,0,0,0,0,0,Q-low,CAP: simulation-only -> max Q-medium
REC_0003,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,L. B. Jayswal; S. Khadka; A. K. Shah; B. Yonzan; B. Rimal; N. Bhattarai; D. Chieng; B. Nakarmi,2026,,10.1109/ICTP67998.2026.11485150,IEEE_Xplore,UAV,mixed,lidar|camera|GPS_denied_confirmed,VIO_SLAM,other,RMSE,0.5,m,custom,real_world,This paper presents the real-time implementation of a visual Simultaneous Localization and Mapping (SLAM) for indoor quadcopter navigation,mapping,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,1,1,0,1,3,Q-low,A+2: real-world experiments; B+1: quantitative error metric reported; D+1: code/data released; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0004,UAV Navigation and Mission Execution in GPS-Denied Environment,J. -T. Zou; Y. -J. Cheng,2025,,10.1109/ICCE-Taiwan66881.2025.11207940,IEEE_Xplore,UAV,outdoor,GPS_denied_confirmed|UWB|WiFi,SLAM,other,RMSE,,,custom,simulation,"Precise drone navigation in GNSS-denied environments remains challenging. GPS fails in obstructed areas like cities and forests, limiting applications. Alternatives such as SLAM, INS, and radio-based",agriculture,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,0,0,0,0,0,Q-low,CAP: simulation-only -> max Q-medium
REC_0006,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,V. V. Sai Viswa Kiran; A. S. Reddy; H. V. Sri Sai; H. Allaka; R. P. Kumar,2026,,10.1109/APSCON68325.2026.11497125,IEEE_Xplore,UAV,mixed,lidar|camera|IMU|GPS_denied_confirmed,hybrid,loosely_coupled,RMSE,,,custom,real_world,"To address these challenges, this paper presents a multi-sensor fusion framework for robust UAV navigation in GPS-compromised environments.The proposed approach employs a dual-strategy navigation fram",search_rescue,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,1,1,0,0,2,Q-low,A+2: real-world experiments; B+1: ablation/failure analysis; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0008,A Framework for UAV Navigation and Exploration in GPS-Denied Environments,F. Vanegas; K. J. Gaston; J. Roberts; F. Gonzalez,2019,,10.1109/AERO.2019.8741612,IEEE_Xplore,UAV,simulation,GPS_denied_confirmed,SLAM,other,RMSE,,,custom,simulation,"This paper presents the development of a framework that enables a drone to navigate in an unknown, unstructured and GPS-denied environment",inspection,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,0,0,0,0,0,Q-low,CAP: simulation-only -> max Q-medium
REC_0010,Autonomous long-range navigation in GNSS-denied environment with low-cost UAV platform,A. R. Kuroswiski; N. M. F. de Oliveira; É. H. Shiguemori,2018,,10.1109/SYSCON.2018.8369592,IEEE_Xplore,UAV,simulation,IMU|GPS_denied_confirmed,other,other,RMSE,400.0,m,custom,simulation,"In this work is presented a solution based on a low-cost UAV platform, that uses a Landmark Recognition algorithm to compensate the inertial sensors errors cumulation, aiming to perform a long-range n",navigation,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,0,1,0,0,1,Q-low,B+1: trajectory scale reported; CAP: simulation-only -> max Q-medium
REC_0013,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,S. K. Thota,2026,,10.1109/ICoECIT68303.2026.11497954,IEEE_Xplore,UAV,simulation,GPS_denied_confirmed,EKF,other,RMSE,,,custom,real_world,"Solutions for getting drone swarms localized when GPS is out of the picture. That's a big problem, really cuts into how reliable those autonomous jobs can be. This paper brings in a model that uses qu",military,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,1,1,0,0,2,Q-low,A+2: real-world experiments; B+1: ablation/failure analysis; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0017,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,Y. Zhou; G. Qin; F. Lin,2018,,10.1109/IECON.2018.8592913,IEEE_Xplore,UAV,outdoor,camera|IMU|GPS_denied_confirmed|VINS,other,loosely_coupled,RMSE,,,custom,real_world,"In order to develop a nano UAV in a GPS-denied environment, a visual-inertial system (VINS) consisting of a monocular camera and a low-cost inertial measurement unit (IMU) should be integrated, as the",navigation,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,1,0,0,1,2,Q-low,A+2: real-world experiments; D+1: code/data released; CAP: abstract-only -1 rigor (cannot verify from abstract alone)
REC_0022,Distance-based Autonomous Docking for UAV-MP in GPS-denied Environment,C. Cheng; X. Li; L. Li; L. Xie,2022,,10.1109/CCDC55256.2022.10034409,IEEE_Xplore,UAV,simulation,camera|GPS_denied_confirmed,other,other,RMSE,,,custom,simulation,"In this paper, we study the docking problem between a UAV and a mobile platform (MP) by estimating the relative position through distance information and its own displacement, and design the approachi",navigation,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,0,1,0,0,1,Q-low,B+1: trajectory scale reported; CAP: simulation-only -> max Q-medium
REC_0023,Autonomous Aerial Navigation in GPS-Denied Environments,A. Variar; B. R; A. Fathima; R. U; G. Sreenandhini; D. K. H; J. J; S. M. D,2025,,10.1109/INSPIRE67328.2025.11300665,IEEE_Xplore,UAV,indoor,lidar|camera|GPS_denied_confirmed,other,other,RMSE,,,custom,simulation,"This paper proposes an autonomous navigation system that does not rely on GPS, GNSS or external markers",mapping,false,Peripheral,Abstract-only extraction. QA capped accordingly.,,false,0,0,0,0,0,Q-low,CAP: simulation-only -> max Q-medium
